Year,Mkt-RF,SMB,HML,RF
2009,0.251115826429799,0.04835813561117841,-0.06175690111690313,-0.02561585789727383
2010,0.15567615439280424,0.11544622395023785,-0.0535883841758229,-0.013751072340764003
2011,-0.02429660988389004,-0.07503742596784613,-0.10758312349223409,-0.028383307226073407
2012,0.14287879029291295,-0.0258443225149535,0.06767925693322763,-0.01652239183369575
2013,0.33153367273434364,0.042522804476245346,0.005552190511940447,-0.014795214348049646
2014,0.10903077529113459,-0.07316779704347409,-0.027502245205256792,-0.0075081019594867016
2015,-0.0052354141010747535,-0.04586196723917457,-0.1048249993712509,-0.0071430897317885655
2016,0.11044691078901803,0.03965499803058692,0.18198935561653418,-0.018265264036804396
2017,0.18864571910202343,-0.06464201476444198,-0.12587638666472345,-0.012890537215016318
2018,-0.084816565654378,-0.04772550415705967,-0.12141901012542644,-0.001034689641303932
2019,0.25021968580548526,-0.06878786220345368,-0.10129867451179086,-0.001412287778719934
2020,0.21817800820853428,0.1219955711334142,-0.31589900213127287,-0.008989850719228865
2021,0.15709168834092346,-0.10360531964356856,0.14178490441081149,-0.06564495816376492
2022,-0.25827537317675275,-0.1298306281109438,0.23731843167349642,-0.047363263042521586
2023,0.16893899368432486,-0.047041145670200124,-0.13987929105220942,0.015346772860717506
2024,0.15525543674711306,-0.11345595325005364,-0.09744864710795154,0.022978599274301237
2025,0.0983107422928926,-0.10998479910403758,0.03705650937255389,0.015098318795751409
