Year,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
1949,0.23167387504294124,0.2176397270209891,0.27537402652962784,0.2770963405273974,0.20884482482442235,0.24237828293945052
1950,0.29753229494466904,0.2635194413141888,0.38345275783911403,0.12288174496129867,0.2202929601338217,0.32334889865648875
1951,0.046937044528079896,0.07147549347225723,0.1205344110974993,0.08392327876669947,0.1329930334199203,0.2181077679093475
1952,0.018691581477320085,0.1070040138744639,0.12434006177550327,0.0848517156998394,0.1201192553716317,0.15944701970199482
1953,-0.14261161785715415,-0.029397272737035074,0.05034253256675969,-0.08650915633902223,0.010008994780708047,0.042117619655191785
1954,0.6033770349570475,0.5704436404514079,0.6360046154905132,0.40330324260145733,0.47141336907022846,0.5769661981575409
1955,0.1518143447955389,0.19235388396218833,0.2847885225128908,0.15079467588902107,0.27121005395500863,0.29668906101228143
1956,-0.0721988292411595,0.025430643222126736,0.18554984436613076,-0.03233351288758901,0.06384438747522125,0.07904301500018729
1957,-0.25750601467842127,-0.15698960139371854,-0.1643679472640609,-0.21020016802759323,-0.09246258633350701,-0.11514125116294072
1958,0.6850795318778675,0.5553307389257747,0.5971269003914177,0.49789051768448456,0.40651573508632866,0.3990239169335976
1959,0.06216586676722291,0.1777294423064888,0.23627370086058108,0.0013121815002818948,0.12213203453554766,0.2087810736820943
1960,-0.1389530904479277,-0.03420308233464031,0.028057129926012392,-0.08274536462414284,-0.044457041005103615,0.0876624052997661
1961,0.24773191586292054,0.2865951271186138,0.38927223547722445,0.19208119480390828,0.27486460622157427,0.2660760599491887
1962,-0.22831853030155225,-0.09772587717811876,-0.14346427530554307,-0.2169520783373089,-0.11187504496800216,-0.06346205186715892
1963,0.10253125397050389,0.16178475444871165,0.25476120381483036,0.1331395011260894,0.17741771925130245,0.2081640096550481
1964,0.11965294606557642,0.19374578277696575,0.18055327599067228,0.14990797693456237,0.12451257365257185,0.17904532467352707
1965,0.24698996034542642,0.3265699875944603,0.43932087901538575,0.07472566474512599,0.05153344103116542,0.2759092157940273
1966,-0.13343611180716153,-0.10648016177345199,-0.06148475256533825,-0.16333037247452842,-0.1215320179880891,-0.04416787063806937
1967,0.587042853073678,0.6276033416311229,0.8910643582195432,0.24504869087731218,0.11283483830311658,0.3633811980130681
1968,0.30313121417059197,0.3324234530675636,0.36312126526938804,0.09980943266051567,0.0367106850765202,0.0924458212732655
1969,-0.38677078217360616,-0.30065693126108006,-0.24103971781812128,-0.17661009213012702,-0.16597736272678798,-0.12748259214173507
1970,-0.19958543997130285,-0.08917526485932437,-0.17323329298976298,0.013972268789179454,0.020025137314864994,-0.08887925768348148
1971,0.10095020674822752,0.12500279067830777,0.23012928306072045,0.1875686429194936,0.11483005154885473,0.12244273864725419
1972,-0.06869542483615321,0.022879525328641792,0.05979347772845567,0.03235481755290981,0.14544239032250927,0.1979077103185063
1973,-0.5219332185783059,-0.3646080713314862,-0.2834771358106607,-0.4841737770574047,-0.2550692521649869,-0.17686763097953873
1974,-0.40632924708863283,-0.3392578445592068,-0.31515348394118037,-0.3763802380080302,-0.35419408692286636,-0.3191005522115721
1975,0.5588852000158333,0.4395927761683118,0.4024664684730874,0.4144462390660604,0.27053483479947826,0.21233484907641653
1976,0.38001857763288927,0.4437369576592689,0.42415821436504153,0.10158459565490152,0.2587500783296868,0.19827343975315403
1977,0.012747860429928037,0.11720507258853496,0.1808380855488818,-0.18811832588370514,-0.09176348578111415,-0.018203886794894486
1978,0.05929058096717865,0.07775632904779894,0.1429686789138731,-0.04387520891530283,-0.04280649338436826,0.0881720941200006
1979,0.13997709233406352,0.17460313231035918,0.3749522106892442,0.007265694535466327,0.018848352958853676,0.2343205656415237
1980,0.08209754718601125,0.11883115427690094,0.4110764587541629,0.059558191568631624,0.08686776816591335,0.3717321231740558
1981,-0.09460156188124769,0.027456723377087267,-0.043446793559478336,-0.019698589956580248,-0.10462613202136872,-0.21918266993583313
1982,-0.0006464527268337239,0.2587420025254281,0.3807899340462011,0.030270663496138495,0.14102869804617413,0.30423850889324067
1983,0.2863139115193427,0.2902931866926155,0.25802815669339063,0.24740066927794624,0.14339405659555515,0.08779301082461033
1984,-0.19467691042242197,-0.01437383428012562,-0.009712722304920263,-0.014900930200557494,0.04274819133329566,-0.02212443878709891
1985,0.1218689758781033,0.28434015497048293,0.3613645571895219,0.23849867647440703,0.29463014750088057,0.2849164674413982
1986,-0.045725434290885714,0.09304235776290715,0.12749142583008055,0.15657072345309264,0.17125847209009315,0.19022605394240255
1987,-0.15277842248472306,-0.09210590427285215,-0.09481229772287003,0.1306290855448513,-0.06886036847245158,-0.0018034920930420917
1988,0.1431668061097977,0.18249603299857498,0.19426705399543232,0.2459093557828993,0.11696709541602601,0.08719257612596532
1989,-0.02810605439259306,0.13299554729173524,0.21243326796704154,0.07341953282780334,0.22874859412749138,0.3521017165458644
1990,-0.38464077611609515,-0.22764947560514337,-0.16694399179247,-0.21413864741797906,-0.09605431094310979,-0.0796938235589264
1991,0.29846192235789637,0.3754966276920111,0.5922599951299705,0.41096169692153506,0.252605217574563,0.39368688850077693
1992,0.10971913720134463,0.16719944910778284,0.18614930554228448,0.054677155020277146,0.06072503707779742,0.03757410763405655
1993,0.040026819596126195,0.1499884828338287,0.2564107866747043,-0.025252302716304742,0.029310312990141307,0.2181224807343538
1994,-0.11178576960127784,-0.037557076449371785,-0.01653988056022304,-0.004280766545536552,-0.025500902523312496,-0.03993039027721257
1995,0.10776116889605292,0.2689465275992793,0.38616806741575527,0.2945528729809821,0.3285908442954748,0.3597405670488689
1996,0.0999986317239876,0.17249977115354187,0.16843461136598958,0.13940494473532694,0.17849747144010553,0.19224593764929687
1997,0.1252430608241284,0.31477714862240425,0.2930460142431872,0.24989006057103902,0.2762858299158373,0.3000639245885821
1998,-0.17662125190092293,-0.019822665030054698,0.0432406877098066,0.12460431306107034,0.16193012272553164,0.3627035927416977
1999,0.13830201855996416,0.017227952839055982,0.48874201002934337,0.02335859997060341,-0.014094155779481476,0.33319023995504526
2000,-0.25445918516971966,0.052685208499501535,0.04874583310960334,-0.1606920194107515,-0.045071630157252573,-0.17953636850278876
2001,0.17904869451481953,0.2294625655703182,0.18377471455172345,-0.19213306232920968,-0.07924566522023246,-0.10685150547073252
2002,-0.4111978012256805,-0.11788517055120917,-0.09217070713812381,-0.3345802447341334,-0.19790877674030838,-0.15297250657289807
2003,0.7484834841048023,0.4355710504230903,0.5171202130647488,0.5068157605269763,0.21019619054931526,0.2550015353819426
2004,0.14199293418771153,0.1757607145174711,0.14301873765287776,0.07312623475640612,0.07453830864573385,0.06436073900143224
