Year,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
2008,-0.41310704728560754,-0.29626131694254376,-0.3089312917262389,-0.4788192484317322,-0.41065737161000304,-0.28606412530797787
2009,0.32541357385945213,0.22873445652215407,0.417614135112536,0.28768718476278443,0.23308961967303166,0.24443016178607957
2010,0.2775057600892048,0.2505500103193201,0.27915831998843776,0.16023726831877472,0.13808500509948418,0.13335773413106788
2011,-0.14194734011938515,-0.03327876368779281,-0.06863524372696461,-0.16600958345673922,-0.001622032861559708,0.02438706711965355
2012,0.15626534692217353,0.16046046672189584,0.146029916523029,0.20865855599115735,0.16407208398061757,0.10849255331885033
2013,0.41194778497130113,0.38785842591303665,0.4458760862423521,0.39952579492711293,0.32796135057365006,0.2939591613735224
2014,0.04161624112672402,0.03354051486325704,0.02864610442041604,0.10117331539531826,0.10143704443582235,0.13667045085919893
2015,-0.061376299132031575,-0.03593008079464444,-0.08956993419678172,-0.036087571045266165,-0.002679325756897888,0.011484731691298045
2016,0.10473244963848471,0.3009399024436743,0.19945518870786616,0.10505462596725357,0.10633683860995946,0.09947805720090508
2017,0.15103390466792366,0.09506042194212161,0.15580338106582192,0.14870210887364954,0.19355575205076803,0.2333482056058953
2018,-0.09338240900640715,-0.1267783776304815,-0.18855085800069904,-0.10781655732258322,-0.08122360913759263,-0.03619737327568251
2019,0.221086207170895,0.2033472495178894,0.18871611501717012,0.21471704646715128,0.26361649124036113,0.3195708590301225
2020,0.3329668291661352,0.08244342112945646,0.21255514589092828,0.2566286883758164,0.13729108602544993,0.2741650878055093
2021,-0.03427688362640613,0.28852181604097127,0.2718833187755765,-0.019350368638911042,0.24580654148498793,0.17374485233447334
2022,-0.3057605017169931,-0.15942987223963478,-0.22577436689732433,-0.274657980850312,-0.24587114808451282,-0.23045278949247894
2023,0.12017192781224906,0.1607005747301895,0.20744569212986508,0.2456534507858128,0.15814766068570218,0.2798490618788585
2024,0.04722667134458658,0.1114587778285474,0.05108818370588408,0.13512540252405003,0.2503488315472784,0.22963746000563146
2025,0.13957708282437897,0.04881473753284671,-0.028747443285268126,0.18776932333700125,0.1419813143894635,0.13679480575805059
