date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
200011,-0.0472,0.0039000000000000003,0.0207,-0.0391,-0.0262,0.009000000000000001
200012,-0.11869999999999999,-0.0908,-0.0659,-0.1484,-0.04019999999999999,-0.045599999999999995
200101,0.0354,-0.014199999999999999,-0.013000000000000001,0.036000000000000004,-0.0387,-0.031200000000000002
200102,-0.01,0.0069,0.0173,-0.09939999999999999,-0.025699999999999997,-0.0015
200103,-0.038900000000000004,-0.035699999999999996,-0.0246,-0.0339,-0.0447,-0.038
200104,0.0738,0.0956,0.12539999999999998,0.0789,0.0895,0.1216
200105,0.0526,0.0287,0.013999999999999999,-0.0095,0.005600000000000001,0.0132
200106,-0.0621,-0.0339,-0.0033,-0.0874,-0.0271,-0.0167
200107,-0.122,-0.0848,-0.0613,-0.11230000000000001,-0.0675,-0.0447
200108,-0.0418,0.0046,0.0379,-0.054000000000000006,-0.0285,0.031
200109,-0.0877,-0.0824,-0.0802,-0.059000000000000004,-0.08810000000000001,-0.073
200110,0.07440000000000001,0.026699999999999998,0.0183,0.0319,-0.0002,-0.0027
200111,-0.0747,-0.0363,-0.0582,0.013300000000000001,-0.011699999999999999,-0.06709999999999999
200112,-0.1309,-0.1041,-0.1043,-0.0839,-0.0661,-0.07780000000000001
200201,-0.050499999999999996,-0.059500000000000004,-0.0513,-0.0947,-0.0616,-0.06309999999999999
200202,0.030699999999999998,0.0726,0.07339999999999999,0.0518,0.0414,0.0706
200203,0.0803,0.0482,0.0296,0.0766,0.053099999999999994,0.0155
200204,0.0724,0.0654,0.0521,0.0483,0.059699999999999996,0.0435
200205,0.0908,0.09269999999999999,0.0964,0.057999999999999996,0.068,0.1072
200206,-0.0258,-0.0269,-0.023799999999999998,-0.0559,-0.042300000000000004,-0.025699999999999997
200207,-0.0401,-0.0144,-0.014199999999999999,-0.0771,-0.0611,-0.0392
200208,-0.0537,-0.0187,-0.0089,-0.011000000000000001,-0.010700000000000001,-0.0197
200209,-0.0803,-0.0373,-0.034,-0.0793,-0.0242,-0.0462
200210,-0.1042,-0.08900000000000001,-0.06709999999999999,-0.04190000000000001,-0.0833,-0.0537
200211,-0.04,-0.019799999999999998,-0.016,0.057800000000000004,0.031200000000000002,0.0158
200212,-0.0008,-0.0072,0.001,-0.0438,-0.0087,-0.0212
200301,-0.008100000000000001,0.0034999999999999996,0.0072,-0.0507,-0.0296,-0.032400000000000005
200302,-0.0032,0.044199999999999996,0.0718,-0.0016,0.0127,0.039900000000000005
200303,-0.012,0.0104,0.0091,-0.032799999999999996,-0.0362,-0.0176
200304,0.053,0.037000000000000005,0.0436,0.0063,0.0039000000000000003,0.018600000000000002
200305,0.07139999999999999,0.0547,0.057999999999999996,0.0556,0.0407,0.0253
200306,0.09050000000000001,0.0576,0.08689999999999999,0.058899999999999994,0.0694,0.1012
200307,0.034,0.023700000000000002,0.0184,0.0363,0.030699999999999998,0.0409
200308,0.09179999999999999,0.0766,0.0965,0.0868,0.0932,0.1308
200309,0.1388,0.08470000000000001,0.0789,0.0553,0.0746,0.0817
200310,0.15289999999999998,0.0641,0.0463,0.015,0.0496,0.0649
200311,-0.084,-0.056900000000000006,-0.0675,-0.0279,-0.0355,-0.0483
200312,0.0388,0.048799999999999996,0.0616,0.0555,0.0636,0.0886
200401,0.06709999999999999,0.0552,0.0721,0.0126,0.0253,0.0123
200402,-0.0275,-0.0003,0.0072,-0.0032,0.0007000000000000001,0.008
200403,0.23,0.2184,0.21780000000000002,0.1069,0.1478,0.1895
200404,0.0621,0.0225,-0.0067,-0.045599999999999995,-0.0622,-0.0528
200405,-0.06269999999999999,-0.0739,-0.0506,-0.031,-0.0168,-0.0382
200406,0.1322,0.0967,0.0981,0.044500000000000005,0.0493,0.0557
200407,-0.111,-0.068,-0.0492,-0.08259999999999999,-0.054900000000000004,-0.051399999999999994
200408,0.023700000000000002,0.0074,0.014499999999999999,0.024700000000000003,-0.0003,0.0116
200409,-0.0654,-0.0323,-0.024399999999999998,-0.0373,-0.027000000000000003,-0.0147
200410,0.0141,0.0241,0.029300000000000003,0.0316,0.0202,0.0245
200411,0.0475,0.0227,0.0302,0.0345,0.0436,0.043899999999999995
200412,0.0352,0.0408,0.0519,0.056799999999999996,0.046799999999999994,0.0584
200501,0.0591,0.0482,0.0451,-0.0245,-0.0177,0.0001
200502,0.018600000000000002,0.0302,0.0512,0.0096,0.0199,0.0226
