date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
192812,-0.054317000000000004,-0.076129,-0.054498,-0.024302999999999998,-0.020332,-0.033339,-0.026890999999999998,-0.009439999999999999,-0.040896,0.003738,0.031148,-0.000951,0.011249,0.012060999999999999,0.005792,0.034405,0.037344,0.0035139999999999998,0.017526,-0.033414,0.005873000000000001,0.011557,-0.010311999999999998,0.012971,0.0037259999999999997
192901,0.029249,0.08243600000000001,-0.038686,0.059937,0.05192,0.040845,0.014254,0.014492,-0.002671,-0.005393,0.016878,0.047525000000000005,-0.047459,0.043288,0.024857,0.046239999999999996,0.048917999999999996,0.037165,0.015503,0.011437,0.065749,0.102571,0.023121999999999997,0.049802,0.000249
192902,0.009617,-0.079993,-0.028183,2.2000000000000003e-05,-0.017637,-0.032489,0.018521,0.037686000000000004,0.006565,0.052965,0.013547,0.00197,0.005901999999999999,0.041228999999999995,0.002402,-0.014402,0.014218,0.023577,0.004267,0.01954,-0.007818,0.009800999999999999,0.004464,0.007348,0.034624
192903,-0.14526899999999998,-0.006032999999999999,-0.021337000000000002,-0.046768000000000004,-0.029964,-0.040739,-0.058814000000000005,-0.050894,-0.023639999999999998,-0.041641000000000004,-0.072089,-0.049266,-0.028056,-0.031815,-0.057807000000000004,-0.044903000000000005,-0.051527,0.013652,-0.012185,-0.011297999999999999,-0.001756,0.008493,0.035264000000000004,0.00043799999999999997,0.0074919999999999995
192904,-0.044227999999999996,-0.08840500000000001,-0.009605,0.074638,-0.016193,0.00018800000000000002,0.007853,0.047933,-0.022916,0.061626,0.017511000000000002,0.006827,0.037294999999999995,-0.002434,-0.0025369999999999998,0.027160000000000004,0.002677,-0.005,0.012809999999999998,0.045724999999999995,0.022448000000000003,0.028698,0.008816000000000001,0.008058,0.02858
192905,-0.21877300000000002,-0.064153,-0.17668199999999998,-0.156067,-0.13078900000000002,-0.112806,-0.117705,-0.082902,-0.133546,-0.13898,-0.066428,-0.105278,-0.085769,-0.093913,-0.09218299999999999,-0.071711,-0.105103,-0.032514,-0.047931,0.008989,-0.05806,-0.059204999999999994,-0.030950000000000002,-0.026705999999999997,-0.016714
192906,0.159956,0.04066499999999999,0.039194,0.07331800000000001,0.069371,0.036731,0.073262,0.11091699999999999,0.042521,0.067069,0.072505,0.10898,0.10754799999999999,0.07954,0.085869,0.13392099999999998,0.10763500000000001,0.110748,0.091305,0.035946,0.11915300000000001,0.136849,0.079176,0.077939,0.047244
192907,0.011741999999999999,-0.052126,-0.018996,-0.08996399999999999,0.023089,-0.02316,0.024318,-0.020222000000000004,0.003757,0.062303,0.011477999999999999,0.037007,0.00856,0.003848,0.10709300000000001,0.024293,0.027454,0.01972,0.024411000000000002,0.044398,0.030181,0.065556,0.059969999999999996,0.084836,0.05145400000000001
192908,-0.041262999999999994,-0.047118,-0.089336,0.047021,-0.048612,-0.012891999999999999,-0.004058,0.007784999999999999,0.008424000000000001,-0.005221,0.010570999999999999,0.006645,0.056009,0.017702,-0.002876,0.049927,-0.001129,0.042344999999999994,0.05379,0.077956,0.066194,0.129693,0.132823,0.134379,0.068384
192909,-0.103134,-0.019792,-0.097645,-0.059053,-0.097142,-0.07575899999999999,-0.020322,-0.047108,-0.057179,-0.020971000000000004,-0.088968,0.000146,-0.014831,-0.040721,-0.0062250000000000005,0.008272,0.012244999999999999,-0.046494,-0.041105,-0.072368,-0.059327,-0.037501,-0.040235,-0.072099,-0.06872
192910,-0.26374400000000003,-0.2368,-0.17999700000000002,-0.237403,-0.19619399999999998,-0.197024,-0.19175699999999998,-0.238761,-0.17390799999999998,-0.192431,-0.27099799999999996,-0.213748,-0.125223,-0.164014,-0.207672,-0.314037,-0.237457,-0.164925,-0.134418,-0.170657,-0.23958100000000002,-0.213645,-0.131764,-0.106115,-0.074875
192911,-0.013563,-0.183961,-0.048762999999999994,-0.158613,-0.11940200000000001,-0.193908,-0.148813,-0.08429299999999999,-0.085944,-0.132392,-0.137151,-0.129251,-0.077971,-0.074828,-0.10300599999999999,-0.147241,-0.13368,-0.078161,-0.087895,-0.113983,-0.13208,-0.158354,-0.10090099999999999,-0.09650299999999999,-0.063362
192912,-0.004171,-0.156076,-0.107757,-0.080244,-0.034177,-0.048964999999999995,-0.061557,-0.077981,0.005152,-0.022675,-0.00903,-0.009143,0.019948,-0.019636,0.053172,0.031175,-0.060358999999999996,-0.025306000000000002,0.005812,0.109565,0.037245,0.035575999999999997,0.00455,0.0063560000000000005,0.008745000000000001
