target_success,upper_guardrail,lower_guardrail,adjustment_pct,adjustment_mode,min_remaining_years,n_complete,success_rate,median_funded,p10_funded,median_cr,p10_cr,median_fr,p10_fr,median_cv,median_min_wd,p10_min_wd,median_adj,score
0.700000,0.900000,0.400000,0.750000,success_rate,15,36,1.000000,1.000000,1.000000,2.315088,1.605071,1.348649,0.978774,0.321056,40459.484831,29363.211298,11.000000,2.621034
0.800000,0.900000,0.200000,1.000000,amount,5,36,0.638889,1.000000,0.984615,2.610778,1.866589,1.285255,0.778070,0.438715,38557.641894,23342.111580,14.500000,2.619457
0.800000,0.900000,0.200000,1.000000,success_rate,5,36,0.638889,1.000000,0.984615,2.610778,1.866589,1.285255,0.778070,0.438715,38557.641894,23342.111580,14.500000,2.619457
0.700000,0.900000,0.300000,0.750000,amount,10,36,1.000000,1.000000,1.000000,2.286130,1.634857,1.349444,1.008216,0.303076,40483.333333,30246.480720,12.000000,2.617510
0.750000,0.900000,0.500000,0.750000,amount,10,36,1.000000,1.000000,1.000000,2.490027,1.749437,1.280525,0.976756,0.358403,38415.744306,29302.691853,16.000000,2.617149
0.700000,0.900000,0.200000,0.500000,success_rate,5,36,0.666667,1.000000,0.984615,2.414948,1.664187,1.267094,1.127948,0.291872,38012.820513,33838.425984,12.000000,2.613407
0.700000,0.900000,0.600000,0.500000,amount,5,36,0.805556,1.000000,1.000000,2.650295,1.852582,1.232963,1.010744,0.400484,36988.888889,30322.310336,23.000000,2.613381
0.750000,0.900000,0.600000,0.750000,success_rate,10,36,1.000000,1.000000,1.000000,2.528577,1.814126,1.268753,0.964423,0.372216,38062.579122,28932.700100,19.000000,2.611079
0.700000,0.900000,0.400000,0.500000,success_rate,5,36,0.722222,1.000000,0.992308,2.492608,1.766338,1.267094,1.024243,0.346686,38012.820513,30727.296374,15.500000,2.610888
0.750000,0.900000,0.200000,0.750000,amount,5,36,0.611111,1.000000,0.984615,2.468328,1.775493,1.285000,1.029682,0.356636,38550.000000,30890.469225,12.000000,2.606212
0.750000,0.900000,0.600000,0.500000,success_rate,5,36,0.833333,1.000000,1.000000,2.719021,1.904775,1.215196,0.949244,0.424327,36455.882353,28477.319232,24.000000,2.603125
0.750000,0.900000,0.300000,0.750000,amount,5,36,0.722222,1.000000,1.000000,2.466289,1.772131,1.285000,1.029682,0.357393,38550.000000,30890.469225,13.000000,2.602859
0.600000,0.900000,0.500000,0.500000,success_rate,20,36,1.000000,1.000000,1.000000,2.229856,1.546864,1.355714,1.005953,0.278318,40671.428571,30178.602585,17.000000,2.602362
0.800000,0.900000,0.700000,0.750000,success_rate,5,36,0.805556,1.000000,1.000000,2.919945,2.058399,1.192648,0.874465,0.505781,35779.447727,26233.949699,26.000000,2.601785
0.600000,0.900000,0.500000,0.750000,success_rate,10,36,1.000000,1.000000,1.000000,2.348558,1.692024,1.314906,0.989352,0.315705,39447.166826,29680.546361,15.000000,2.600663
0.700000,0.900000,0.500000,0.750000,amount,20,36,1.000000,1.000000,1.000000,2.277510,1.616350,1.347295,1.009256,0.306647,40418.854129,30277.688618,12.000000,2.598008
0.700000,0.900000,0.300000,0.500000,success_rate,5,36,0.722222,1.000000,0.992308,2.445140,1.720026,1.267094,1.166700,0.323348,38012.820513,35000.999823,13.000000,2.597320
0.700000,0.900000,0.600000,0.750000,success_rate,5,36,0.777778,1.000000,0.992308,2.704807,1.868716,1.221452,0.902078,0.429900,36643.569561,27062.346112,19.000000,2.593642
0.750000,0.900000,0.400000,0.750000,success_rate,10,36,1.000000,1.000000,1.000000,2.401490,1.719634,1.301974,0.971138,0.342360,39059.210526,29134.126924,14.000000,2.591453
0.700000,0.900000,0.400000,0.750000,success_rate,20,36,1.000000,1.000000,1.000000,2.261683,1.569036,1.348649,0.978774,0.300949,40459.484831,29363.211298,11.000000,2.591237
0.600000,0.900000,0.400000,0.500000,success_rate,15,36,1.000000,1.000000,1.000000,2.211635,1.555034,1.355714,0.968410,0.273579,40671.428571,29052.302962,14.000000,2.588203
0.700000,0.900000,0.400000,0.750000,amount,20,36,1.000000,1.000000,1.000000,2.244678,1.562681,1.349444,1.065255,0.291333,40483.333333,31957.662327,11.000000,2.587835
0.600000,0.900000,0.500000,0.750000,amount,10,36,1.000000,1.000000,1.000000,2.337124,1.702664,1.323495,0.999001,0.327415,39704.854217,29970.018968,16.500000,2.586796
0.700000,0.900000,0.500000,0.750000,success_rate,20,36,1.000000,1.000000,1.000000,2.277216,1.614650,1.338642,0.987766,0.303024,40159.255009,29632.984774,13.000000,2.586510
