target_success,upper_guardrail,lower_guardrail,adjustment_pct,adjustment_mode,min_remaining_years,initial_rate,initial_wd,n_complete,success_rate,median_funded,p10_funded,median_cr,p10_cr,median_fr,p10_fr,median_avg_wd_ratio,p10_avg_wd_ratio,median_cv,median_downside_cv,median_min_wd,p10_min_wd,median_adj,median_util,p10_util,median_discounted,p10_floor_self,smoothness,score
0.900000,0.990000,0.200000,0.100000,amount,5,0.025872,25871.794872,2000,0.895500,1.000000,1.000000,2.136682,1.138827,1.000000,0.792335,2.477101,1.006567,0.640315,0.000000,25871.794872,20499.118489,28.000000,0.064087,0.026042,0.051841,0.792335,1.000000,0.812910
0.900000,0.990000,0.500000,0.100000,amount,5,0.025872,25871.794872,2000,0.946500,1.000000,1.000000,2.180490,1.151633,1.000000,0.773440,2.493398,1.028572,0.655596,0.000000,25871.794872,20010.288476,29.000000,0.064509,0.026611,0.051973,0.773440,1.000000,0.812388
0.900000,0.990000,0.700000,0.050000,success_rate,5,0.025872,25871.794872,2000,0.890000,1.000000,1.000000,2.277329,1.176220,1.000000,0.757654,2.602043,1.056605,0.618094,0.005284,25871.794872,19601.856423,24.000000,0.067320,0.027336,0.055091,0.757654,0.904417,0.811641
0.950000,0.990000,0.100000,0.050000,amount,10,0.022556,22555.555556,2000,0.946500,1.000000,1.000000,1.921514,1.137640,1.000000,1.000000,2.553706,1.142124,0.667037,0.000000,22555.555556,22555.555556,46.000000,0.057600,0.025761,0.045664,1.000000,1.000000,0.810956
0.950000,0.990000,0.200000,0.050000,amount,10,0.022556,22555.555556,2000,0.954000,1.000000,1.000000,1.921514,1.133601,1.000000,1.000000,2.553706,1.140577,0.667037,0.000000,22555.555556,22555.555556,46.000000,0.057600,0.025726,0.045664,1.000000,1.000000,0.810877
0.950000,0.990000,0.300000,0.050000,amount,10,0.022556,22555.555556,2000,0.961500,1.000000,1.000000,1.921805,1.129134,1.000000,1.000000,2.553706,1.138975,0.667037,0.000000,22555.555556,22555.555556,46.000000,0.057600,0.025690,0.045664,1.000000,1.000000,0.810796
0.950000,0.990000,0.300000,0.100000,amount,15,0.022556,22555.555556,2000,0.984500,1.000000,1.000000,1.979967,1.124265,1.000000,0.927207,2.631409,1.142804,0.572079,0.000000,22555.555556,20913.669679,33.000000,0.059353,0.025777,0.048166,0.927207,1.000000,0.810510
0.950000,0.990000,0.700000,0.050000,amount,5,0.022556,22555.555556,2000,0.980500,1.000000,1.000000,2.041890,1.144751,1.000000,0.905560,2.686720,1.172262,0.748836,0.000000,22555.555556,20425.411985,48.000000,0.060600,0.026441,0.047404,0.905560,1.000000,0.810069
0.900000,0.990000,0.600000,0.050000,success_rate,5,0.025872,25871.794872,2000,0.886000,1.000000,1.000000,2.268569,1.166307,1.000000,0.753998,2.594875,1.047118,0.611444,0.005071,25871.794872,19507.278178,22.000000,0.067134,0.027091,0.054978,0.753998,0.907920,0.810024
0.950000,0.990000,0.600000,0.250000,amount,5,0.022556,22555.555556,2000,0.980500,1.000000,1.000000,2.307932,1.219470,1.000000,0.850909,2.994268,1.286285,0.649349,0.014101,22555.555556,19192.721159,23.000000,0.067537,0.029013,0.054782,0.850909,0.780020,0.809075
0.900000,0.990000,0.500000,0.050000,success_rate,5,0.025872,25871.794872,2000,0.882000,1.000000,1.000000,2.240354,1.158477,1.000000,0.745755,2.577710,1.038305,0.608104,0.004861,25871.794872,19294.020032,20.000000,0.066690,0.026863,0.054913,0.745755,0.911389,0.806695
0.950000,0.990000,0.400000,0.050000,amount,10,0.022556,22555.555556,2000,0.968500,1.000000,1.000000,1.921805,1.126903,1.000000,0.978330,2.553706,1.139053,0.667037,0.000000,22555.555556,22066.770184,46.000000,0.057600,0.025692,0.045664,0.978330,1.000000,0.806466
0.900000,0.990000,0.200000,0.250000,amount,5,0.025872,25871.794872,2000,0.858500,1.000000,1.000000,2.157227,1.136681,1.000000,0.731314,2.480163,1.012415,0.559783,0.000000,25871.794872,18920.412303,14.000000,0.064166,0.026193,0.053544,0.731314,1.000000,0.806453
0.900000,0.990000,0.600000,0.100000,amount,5,0.025872,25871.794872,2000,0.961000,1.000000,1.000000,2.197394,1.160008,1.000000,0.764034,2.502609,1.037192,0.662851,0.001768,25871.794872,19766.935304,30.000000,0.064747,0.026834,0.052041,0.764034,0.965856,0.805277
0.950000,0.990000,0.500000,0.050000,amount,10,0.022556,22555.555556,2000,0.974000,1.000000,1.000000,1.924530,1.124958,1.000000,0.969980,2.553706,1.139646,0.667037,0.000000,22555.555556,21878.430396,46.000000,0.057600,0.025705,0.045760,0.969980,1.000000,0.805114
