target_success,upper_guardrail,lower_guardrail,adjustment_pct,adjustment_mode,min_remaining_years,initial_rate,initial_wd,n_complete,success_rate,median_funded,p10_funded,median_cr,p10_cr,median_fr,p10_fr,median_avg_wd_ratio,p10_avg_wd_ratio,median_cv,median_downside_cv,median_min_wd,p10_min_wd,median_adj,score
0.950000,0.990000,0.200000,1.000000,amount,5,0.013769,13769.230769,2000,0.896500,1.000000,1.000000,5.719680,1.461348,0.458974,0.458974,5.042590,0.893407,1.262589,0.000000,13769.230769,13769.230769,6.000000,1.942264
0.950000,0.990000,0.600000,0.750000,success_rate,5,0.013769,13769.230769,2000,0.942500,1.000000,1.000000,5.709246,1.471451,0.458974,0.290937,5.170846,0.900612,1.298995,0.000000,13769.230769,8728.095603,7.000000,1.938731
0.950000,0.990000,0.400000,0.750000,success_rate,1,0.013769,13769.230769,2000,0.993000,1.000000,1.000000,5.688521,1.446495,0.458974,0.458974,5.145018,0.906786,1.326067,0.172859,13769.230769,13769.230769,10.000000,1.938421
0.950000,0.990000,0.100000,0.750000,success_rate,1,0.013769,13769.230769,2000,0.970500,1.000000,1.000000,5.626175,1.418417,0.458974,0.458974,5.145018,0.865548,1.317326,0.173429,13769.230769,13769.230769,10.000000,1.938307
0.950000,0.990000,0.100000,0.100000,success_rate,5,0.013769,13769.230769,2000,0.924500,1.000000,1.000000,5.515623,1.290960,0.458974,0.458974,5.026251,0.799597,1.409240,0.000000,13769.230769,13769.230769,19.000000,1.937362
0.950000,0.990000,0.300000,1.000000,success_rate,5,0.013769,13769.230769,2000,0.916000,1.000000,1.000000,5.731653,1.461466,0.458974,0.458974,5.023411,0.900940,1.267887,0.000000,13769.230769,13769.230769,6.000000,1.936511
0.950000,0.990000,0.300000,1.000000,amount,5,0.013769,13769.230769,2000,0.916000,1.000000,1.000000,5.731653,1.461466,0.458974,0.458974,5.023411,0.900940,1.267887,0.000000,13769.230769,13769.230769,6.000000,1.936511
0.950000,0.990000,0.200000,0.100000,success_rate,5,0.013769,13769.230769,2000,0.939000,1.000000,1.000000,5.522193,1.296741,0.458974,0.458974,5.022441,0.800576,1.410756,0.000000,13769.230769,13769.230769,19.000000,1.936219
0.950000,0.990000,0.500000,0.100000,success_rate,5,0.013769,13769.230769,2000,0.960500,1.000000,1.000000,5.528758,1.325698,0.458974,0.458974,5.022441,0.829557,1.414607,0.000000,13769.230769,13769.230769,20.000000,1.936219
0.950000,0.990000,0.400000,0.100000,success_rate,5,0.013769,13769.230769,2000,0.955000,1.000000,1.000000,5.528989,1.315443,0.458974,0.458974,5.022441,0.821183,1.412575,0.000000,13769.230769,13769.230769,20.000000,1.936219
0.950000,0.990000,0.300000,0.100000,success_rate,5,0.013769,13769.230769,2000,0.948500,1.000000,1.000000,5.522193,1.300267,0.458974,0.458974,5.019055,0.806571,1.410756,0.000000,13769.230769,13769.230769,19.000000,1.935204
0.950000,0.990000,0.200000,0.750000,success_rate,1,0.013769,13769.230769,2000,0.982500,1.000000,1.000000,5.626175,1.426710,0.458974,0.458974,5.129110,0.888964,1.320406,0.173083,13769.230769,13769.230769,10.000000,1.933604
0.950000,0.990000,0.300000,0.750000,success_rate,1,0.013769,13769.230769,2000,0.993500,1.000000,1.000000,5.663723,1.435527,0.458974,0.458974,5.119466,0.888964,1.322448,0.173241,13769.230769,13769.230769,10.000000,1.930679
0.950000,0.990000,0.600000,0.100000,success_rate,5,0.013769,13769.230769,2000,0.963000,1.000000,1.000000,5.547381,1.337666,0.458974,0.436715,5.022441,0.830461,1.416091,0.000000,13769.230769,13101.458189,20.000000,1.930655
0.950000,0.990000,0.700000,0.750000,amount,1,0.013769,13769.230769,2000,0.998000,1.000000,1.000000,5.821135,1.497149,0.458974,0.254570,5.257351,0.938026,1.370477,0.139450,13769.230769,7637.100151,11.000000,1.927702
0.950000,0.990000,0.700000,0.750000,amount,5,0.013769,13769.230769,2000,0.957500,1.000000,1.000000,5.749416,1.470636,0.458974,0.254791,5.158213,0.919849,1.315342,0.000000,13769.230769,7643.717311,8.000000,1.925905
