target,upper,lower,adj,mode,min_remain,init_wd,swr,success_rate,funded_ratio,eff_success,eff_funded,median_cew,p10_cew,p10_avg_wd,p50_avg_wd,p90_avg_wd,p90_max_drop,mean_years_below_floor,seed
0.75,0.9,0.5,0.05,amount,1,40450.0,0.04045,0.7655,0.9334199999999999,0.7585,0.92753,51732.808016814306,4.537695533852142e-10,22946.92000512293,75573.7611809293,273644.3813854506,1.0,3.656,42
0.75,0.9,0.5,0.05,amount,3,40450.0,0.04045,0.766,0.93343,0.759,0.9275399999999999,51722.09142542402,4.537695533852142e-10,22946.92000512293,74010.13422518774,261950.47866216517,1.0,3.657,42
0.75,0.9,0.5,0.05,amount,5,40450.0,0.04045,0.766,0.9334399999999999,0.759,0.92753,51644.166728011085,4.537695533852142e-10,22946.92000512293,72757.96099452162,250607.99711879189,1.0,3.6585,42
0.75,0.9,0.5,0.05,amount,10,40450.0,0.04045,0.774,0.93371,0.7645,0.92753,51430.20978852658,4.537695533852142e-10,22946.92000512293,69239.14098208929,226024.8520029005,1.0,3.667,42
0.75,0.9,0.5,0.05,success_rate,1,40450.0,0.04045,0.987,0.9992000000000001,0.7865,0.90915,54413.87191094231,21092.279273636592,27694.10059567534,88839.33946276651,350830.5889447979,0.497084603817446,3.792,42
0.75,0.9,0.5,0.05,success_rate,3,40450.0,0.04045,0.994,0.9993399999999999,0.7805,0.90903,54094.72340670865,21216.02592138735,27306.612663005762,84614.11111438973,327475.6645693986,0.6035036947707114,3.849,42
0.75,0.9,0.5,0.05,success_rate,5,40450.0,0.04045,0.995,0.9993699999999999,0.7735,0.9086300000000002,53993.17106757373,21090.548282968488,26980.571422250607,81616.56663629925,308014.75206206297,0.5540248829026495,3.898,42
0.75,0.9,0.5,0.05,success_rate,10,40450.0,0.04045,0.9955,0.99941,0.77,0.90737,53684.112058818806,20770.119176471122,26452.78918806523,75349.87331092553,263462.70779363206,0.49210678059090385,4.0245,42
0.75,0.9,0.5,0.1,amount,1,40450.0,0.04045,0.7975,0.96321,0.7475,0.9218299999999999,51981.75768491921,1.3408018322269719e-09,26560.12027742078,81202.94976057779,306094.21112929145,1.0,3.7195,42
0.75,0.9,0.5,0.1,amount,3,40450.0,0.04045,0.7985,0.96323,0.747,0.92182,51963.153442933995,1.3408018322269719e-09,26416.621150578667,79599.07925909045,293910.9806757809,1.0,3.7255,42
0.75,0.9,0.5,0.1,amount,5,40450.0,0.04045,0.8015,0.96331,0.749,0.9218500000000001,52019.75201798154,1.3408018322269719e-09,26316.331768908243,77804.70928711919,283479.6483021186,1.0,3.7315,42
0.75,0.9,0.5,0.1,amount,10,40450.0,0.04045,0.822,0.96428,0.762,0.9221,52357.12917204872,1.6252641957643e-09,25681.89640870882,74061.52740095762,254259.552159982,1.0,3.771,42
0.75,0.9,0.5,0.1,success_rate,1,40450.0,0.04045,0.9905,0.9994700000000001,0.7865,0.9011,55289.59264347002,24281.120194639945,29806.393994068643,87885.62107801894,328495.56594010873,0.4675718597677938,3.5015,42
0.75,0.9,0.5,0.1,success_rate,3,40450.0,0.04045,0.9945,0.9995499999999999,0.781,0.90099,54978.844378213646,24192.945423424935,29072.81291445611,84005.26213227137,307376.9958712595,0.5934856938701127,3.576,42
0.75,0.9,0.5,0.1,success_rate,5,40450.0,0.04045,0.9955,0.99958,0.7715,0.90049,54927.244906350825,23964.629903736753,28714.760149625195,81801.81397382515,292176.72655870154,0.5498070489474878,3.6245,42
0.75,0.9,0.5,0.1,success_rate,10,40450.0,0.04045,0.9965,0.99966,0.764,0.89899,54393.99414866374,23380.45607417465,27642.121697190443,76158.32636446028,256231.32627948633,0.46526710199294063,3.801,42
