target,upper,lower,adj,mode,min_remain,envs_total,envs_top_effFR,envs_top_cew,envs_top_both,mean_eff_funded,min_eff_funded,mean_median_cew,min_median_cew,mean_swr,min_swr,mean_eff_sr,pct_top_effFR,pct_top_cew,pct_top_both
0.8,0.99,0.7,0.05,amount,5,54,0,15,0,0.8873888374485597,0.7472000000000001,57478.33035481232,45545.17947948623,0.04278262906776284,0.0349565217391304,0.7475740740740741,0.0,0.2777777777777778,0.0
0.8,0.99,0.7,0.05,amount,10,54,0,12,0,0.8874599279835391,0.7472416666666667,56937.586356021246,45442.41146162297,0.04278262906776284,0.0349565217391304,0.7496111111111111,0.0,0.2222222222222222,0.0
0.8,0.99,0.7,0.05,success_rate,1,54,0,9,0,0.8550497427983539,0.6692333333333333,48280.81237305252,3.357540698696374e-10,0.04278262906776284,0.0349565217391304,0.6959351851851852,0.0,0.16666666666666666,0.0
0.8,0.99,0.7,0.05,success_rate,3,54,0,9,0,0.8550397633744856,0.6692888888888889,48144.24357008501,3.357540698696374e-10,0.04278262906776284,0.0349565217391304,0.6952685185185185,0.0,0.16666666666666666,0.0
0.8,0.99,0.7,0.05,success_rate,5,54,0,9,0,0.8549980452674897,0.6693888888888889,47956.72213716248,3.357540698696374e-10,0.04278262906776284,0.0349565217391304,0.6962777777777777,0.0,0.16666666666666666,0.0
0.8,0.99,0.7,0.1,amount,1,54,0,9,0,0.8716190329218108,0.7034777777777778,47038.074605429145,3.5924672868753267e-10,0.04278262906776284,0.0349565217391304,0.7244074074074075,0.0,0.16666666666666666,0.0
0.8,0.99,0.7,0.1,amount,3,54,0,9,0,0.8716217592592592,0.7034777777777778,46958.37617621076,3.5924672868753267e-10,0.04278262906776284,0.0349565217391304,0.7244722222222222,0.0,0.16666666666666666,0.0
0.8,0.99,0.7,0.1,amount,5,54,0,9,0,0.871672633744856,0.7035111111111112,46863.07285185287,3.5924672868753267e-10,0.04278262906776284,0.0349565217391304,0.7261388888888889,0.0,0.16666666666666666,0.0
0.8,0.99,0.7,0.1,amount,10,54,0,9,0,0.8716868827160494,0.7036444444444444,46381.09452884824,3.5924672868753267e-10,0.04278262906776284,0.0349565217391304,0.7314814814814815,0.0,0.16666666666666666,0.0
0.8,0.99,0.7,0.1,success_rate,1,54,0,0,0,0.8473296810699589,0.6555777777777778,36232.354275327205,2.8113615841033503e-10,0.04278262906776284,0.0349565217391304,0.6902685185185186,0.0,0.0,0.0
