target,upper,lower,adj,mode,min_remain,init_wd,swr,success_rate,eff_success,eff_funded,median_cew,p10_avg_wd,mean_years_below_floor,passes_eff_sr,passes_p10_wd,passes_years_below,gating_pass
0.75,0.9,0.5,0.2,amount,5,42186.04651162791,0.04218604651162791,0.898,0.7525,0.90571,56327.17837584796,29767.845675940065,3.562,False,True,True,False
0.75,0.9,0.5,0.2,amount,10,42186.04651162791,0.04218604651162791,0.939,0.767,0.90549,57545.84797568553,28877.461817273623,3.7115,False,True,True,False
0.75,0.9,0.5,0.2,success_rate,1,42186.04651162791,0.04218604651162791,0.9915,0.777,0.8897,59674.81894792701,32608.83951923727,3.2635,False,True,True,False
0.75,0.9,0.5,0.2,success_rate,3,42186.04651162791,0.04218604651162791,0.9945,0.7715,0.8895899999999999,59297.56664892299,31512.618598287474,3.3505,False,True,True,False
0.75,0.9,0.5,0.2,success_rate,5,42186.04651162791,0.04218604651162791,0.9955,0.762,0.8891100000000001,59091.28689985858,30817.60557468585,3.43,False,True,True,False
0.75,0.9,0.5,0.2,success_rate,10,42186.04651162791,0.04218604651162791,0.997,0.7505,0.88734,58303.684724599036,29636.604855371046,3.6505,False,True,True,False
0.75,0.9,0.5,0.25,amount,1,42186.04651162791,0.04218604651162791,0.9175,0.759,0.9016600000000001,57423.151350701824,31828.230255719474,3.3505,False,True,True,False
0.75,0.9,0.5,0.25,amount,3,42186.04651162791,0.04218604651162791,0.9215,0.759,0.9016600000000001,57406.01542659387,31152.790814261592,3.3825,False,True,True,False
0.75,0.9,0.5,0.25,amount,5,42186.04651162791,0.04218604651162791,0.931,0.762,0.9015799999999999,57364.37096592094,30555.818007312366,3.4215,False,True,True,False
0.75,0.9,0.5,0.25,amount,10,42186.04651162791,0.04218604651162791,0.968,0.7655,0.90062,58014.450456462924,29366.98388633449,3.62,False,True,True,False
0.75,0.9,0.5,0.25,success_rate,1,42186.04651162791,0.04218604651162791,0.992,0.778,0.88665,59655.62706376725,33057.912050496,3.179,False,True,True,False
