target,upper,lower,adj,mode,min_remain,swr,success_rate,eff_success,eff_funded,median_cew,p10_avg_wd,init_wd,source
0.8,0.99,0.5,0.1,amount,1,0.04012121212121212,0.907,0.879,0.9555899999999999,50681.47389454209,30893.181971347967,40121.21212121212,USA
0.8,0.99,0.5,0.1,amount,3,0.04012121212121212,0.9075,0.8785,0.9555799999999999,50660.02363379061,30806.972974369182,40121.21212121212,USA
0.8,0.99,0.5,0.1,amount,5,0.04012121212121212,0.909,0.877,0.9555,50616.476559566,30484.26263605235,40121.21212121212,USA
0.8,0.99,0.5,0.1,amount,10,0.04012121212121212,0.918,0.8775,0.95513,50397.663892766344,29946.813798189163,40121.21212121212,USA
0.95,0.99,0.8,0.05,amount,10,0.02039130434782609,0.98,0.974,0.9939600000000001,30136.37780155086,22312.353467521807,20391.30434782609,DEU
0.95,0.99,0.8,0.05,amount,5,0.02039130434782609,0.98,0.9745,0.99399,30248.563852939435,22966.30126558271,20391.30434782609,DEU
0.95,0.99,0.8,0.05,amount,3,0.02039130434782609,0.98,0.9745,0.99399,30271.22022254553,23285.39685519448,20391.30434782609,DEU
0.95,0.99,0.8,0.05,amount,1,0.02039130434782609,0.98,0.9745,0.99399,30298.448087321085,23575.143908254664,20391.30434782609,DEU
0.95,0.99,0.7,0.05,amount,10,0.02039130434782609,0.9775,0.971,0.9936200000000001,30192.32704782857,22440.05614771315,20391.30434782609,DEU
0.95,0.99,0.7,0.05,amount,5,0.02039130434782609,0.9775,0.972,0.99371,30303.837121957316,23063.028974161287,20391.30434782609,DEU
0.95,0.99,0.7,0.05,amount,3,0.02039130434782609,0.9775,0.972,0.99372,30331.318123255398,23311.21818913045,20391.30434782609,DEU
0.95,0.99,0.7,0.05,amount,1,0.02039130434782609,0.9775,0.972,0.99372,30349.395593649726,23617.729303296295,20391.30434782609,DEU
0.95,0.9,0.8,0.05,amount,10,0.02039130434782609,0.978,0.9725,0.99374,30952.028077127943,22601.69751610373,20391.30434782609,DEU
0.95,0.9,0.8,0.05,amount,5,0.02039130434782609,0.9775,0.973,0.99379,31080.412501591614,23297.81422572877,20391.30434782609,DEU
0.95,0.9,0.8,0.05,amount,3,0.02039130434782609,0.9775,0.973,0.99379,31111.188657579412,23571.90202127844,20391.30434782609,DEU
0.95,0.9,0.8,0.05,amount,1,0.02039130434782609,0.9775,0.973,0.99379,31122.361657890346,23803.518913300657,20391.30434782609,DEU
0.95,0.95,0.8,0.05,amount,10,0.02039130434782609,0.977,0.972,0.99367,31007.15628982702,22658.19916791626,20391.30434782609,DEU
0.95,0.95,0.8,0.05,amount,5,0.02039130434782609,0.977,0.972,0.99371,31143.172431262723,23292.985662303458,20391.30434782609,DEU
0.95,0.9,0.7,0.05,amount,10,0.02039130434782609,0.974,0.969,0.99341,30995.58782392972,22765.68990419232,20391.30434782609,DEU
0.95,0.95,0.8,0.05,amount,3,0.02039130434782609,0.977,0.9725,0.99373,31176.813948712297,23582.335612923453,20391.30434782609,DEU
0.95,0.95,0.8,0.05,amount,1,0.02039130434782609,0.977,0.9725,0.99373,31195.056862265883,23781.7654601298,20391.30434782609,DEU
0.85,0.9,0.7,0.2,success_rate,3,0.028038461538461543,1.0,0.885,0.9451799999999999,43940.842687718745,27054.22728891179,28038.461538461543,DEU
0.85,0.9,0.7,0.2,success_rate,1,0.028038461538461543,1.0,0.8885,0.94525,44015.59467391229,27735.505230470626,28038.461538461543,DEU
0.85,0.9,0.7,0.25,success_rate,3,0.028038461538461543,1.0,0.8815,0.9411499999999999,44109.98223935036,27257.979341684746,28038.461538461543,DEU
0.85,0.9,0.7,0.25,success_rate,1,0.028038461538461543,1.0,0.884,0.9412,44234.78989671074,28183.73924353735,28038.461538461543,DEU
0.85,0.9,0.8,0.25,success_rate,3,0.028038461538461543,1.0,0.8795,0.9375,43748.947220109694,27400.155949580345,28038.461538461543,DEU
0.85,0.9,0.5,0.25,success_rate,3,0.028038461538461543,1.0,0.889,0.9535399999999999,44909.061278125126,26658.519813888743,28038.461538461543,DEU
0.85,0.9,0.5,0.25,success_rate,1,0.028038461538461543,1.0,0.8905,0.95357,45045.42008404284,27265.465151598746,28038.461538461543,DEU
0.85,0.9,0.8,0.25,success_rate,1,0.028038461538461543,1.0,0.882,0.93755,43817.07147453321,28455.397520758954,28038.461538461543,DEU
0.8,0.99,0.5,0.1,amount,1,0.030787878787878784,0.9155,0.874,0.9582200000000001,40022.49839385968,24116.349204629325,30787.878787878784,DEU
0.8,0.99,0.5,0.1,amount,3,0.030787878787878784,0.9165,0.874,0.9582200000000001,40018.13402417624,23859.16796881984,30787.878787878784,DEU
0.8,0.99,0.5,0.1,amount,5,0.030787878787878784,0.917,0.872,0.95811,39944.71283712672,23683.002413573093,30787.878787878784,DEU
0.8,0.99,0.5,0.1,amount,10,0.030787878787878784,0.9275,0.872,0.95756,39744.6127429918,23233.354929123936,30787.878787878784,DEU
0.95,0.99,0.8,0.05,amount,10,0.018562500000000006,0.9625,0.9585,0.9893200000000001,29142.058724658913,21811.820213936946,18562.500000000007,JPN
0.95,0.99,0.8,0.05,amount,5,0.018562500000000006,0.961,0.9575,0.98932,29220.091919926093,22626.507159441237,18562.500000000007,JPN
0.95,0.99,0.8,0.05,amount,3,0.018562500000000006,0.9605,0.957,0.9893099999999999,29252.927635173357,23109.962114159745,18562.500000000007,JPN
0.95,0.99,0.8,0.05,amount,1,0.018562500000000006,0.9605,0.957,0.9893099999999999,29285.886093086134,23651.875013694902,18562.500000000007,JPN
0.95,0.99,0.7,0.05,amount,10,0.018562500000000006,0.9595,0.956,0.9889600000000001,29251.315163229978,21767.650169023258,18562.500000000007,JPN
0.95,0.99,0.7,0.05,amount,5,0.018562500000000006,0.9575,0.9545,0.989,29298.006106609453,22687.499779148224,18562.500000000007,JPN
0.95,0.99,0.7,0.05,amount,3,0.018562500000000006,0.957,0.955,0.98901,29327.132488015985,23055.56392315013,18562.500000000007,JPN
0.95,0.99,0.7,0.05,amount,1,0.018562500000000006,0.957,0.955,0.98901,29340.397157496962,23582.061827892438,18562.500000000007,JPN
0.95,0.9,0.8,0.05,amount,10,0.018562500000000006,0.9605,0.957,0.98872,30315.22585626678,22182.483579435655,18562.500000000007,JPN
0.95,0.9,0.8,0.05,amount,5,0.018562500000000006,0.958,0.9545,0.9887,30367.78003525862,23079.903452104114,18562.500000000007,JPN
0.95,0.9,0.8,0.05,amount,3,0.018562500000000006,0.957,0.954,0.9886999999999999,30381.074521667717,23511.587277858056,18562.500000000007,JPN
0.95,0.9,0.8,0.05,amount,1,0.018562500000000006,0.957,0.9545,0.9887100000000001,30397.400416320517,23970.5383020044,18562.500000000007,JPN
0.95,0.95,0.8,0.05,amount,10,0.018562500000000006,0.9605,0.9575,0.9888399999999999,30444.20107146367,22124.144518711837,18562.500000000007,JPN
0.95,0.95,0.8,0.05,amount,5,0.018562500000000006,0.958,0.955,0.98881,30501.24349773118,23139.662748790408,18562.500000000007,JPN
0.95,0.9,0.7,0.05,amount,10,0.018562500000000006,0.957,0.9535,0.98842,30444.284506722197,22187.3757970881,18562.500000000007,JPN
0.95,0.95,0.8,0.05,amount,3,0.018562500000000006,0.957,0.9545,0.98881,30514.113057300878,23564.269640677714,18562.500000000007,JPN
0.95,0.95,0.8,0.05,amount,1,0.018562500000000006,0.957,0.9545,0.98881,30529.53003527008,24032.90393034852,18562.500000000007,JPN
0.85,0.9,0.7,0.2,success_rate,3,0.02817241379310345,0.977,0.7475,0.8574100000000001,45350.09139888045,28062.809318452048,28172.413793103453,JPN
0.85,0.9,0.7,0.2,success_rate,1,0.02817241379310345,0.977,0.7505,0.8574700000000001,45450.871285161265,29220.16169143426,28172.413793103453,JPN
0.85,0.9,0.7,0.25,success_rate,3,0.02817241379310345,0.975,0.736,0.8504200000000001,45522.784240108725,28375.15231017228,28172.413793103453,JPN
0.85,0.9,0.7,0.25,success_rate,1,0.02817241379310345,0.975,0.738,0.85046,45654.76127571023,29657.23505993959,28172.413793103453,JPN
0.85,0.9,0.8,0.25,success_rate,3,0.02817241379310345,0.975,0.739,0.84704,45171.119220274544,29151.30839810993,28172.413793103453,JPN
0.85,0.9,0.5,0.25,success_rate,3,0.02817241379310345,0.973,0.73,0.85394,46202.77404336825,27370.756584252904,28172.413793103453,JPN
0.85,0.9,0.5,0.25,success_rate,1,0.02817241379310345,0.973,0.7325,0.85399,46459.974948137016,28259.183394612868,28172.413793103453,JPN
0.85,0.9,0.8,0.25,success_rate,1,0.02817241379310345,0.975,0.741,0.84708,45304.01907357242,29848.212836085506,28172.413793103453,JPN
