target,upper,lower,adj,mode,min_remain,swr_mean,swr_std,success_rate_mean,success_rate_std,funded_ratio_mean,funded_ratio_std,eff_success_mean,eff_success_std,eff_funded_mean,eff_funded_std,median_cew_mean,median_cew_std,p10_cew_mean,p10_cew_std,p10_avg_wd_mean,p10_avg_wd_std,p50_avg_wd_mean,p50_avg_wd_std,p90_avg_wd_mean,p90_avg_wd_std,p90_max_drop_mean,p90_max_drop_std,mean_years_below_floor_mean,mean_years_below_floor_std,init_wd_mean,init_wd_std,n_seeds
0.75,0.9,0.1,0.15,amount,5,0.04045,0.0,0.6973,0.0004472135954999715,0.9543800000000001,6.244997998398125e-05,0.6581,0.0007416198487094949,0.904374,0.00010212737145346287,50809.918662498654,83.32212034743259,9.854329074222018e-10,8.40005882993887e-25,23928.95916825378,25.391293164986724,76939.21919215428,160.00850162794455,279235.77296537854,11.277959233508158,1.0,0.0,4.8732,0.005251190341246693,40450.0,0.0,5
0.75,0.9,0.1,0.15,amount,10,0.04045,0.0,0.7472000000000001,0.0006708203932499308,0.9563919999999999,6.418722614354406e-05,0.6802,0.0002738612787525495,0.904734,0.00012239281024636369,51845.077491023854,22.882407680605787,9.854329074222018e-10,8.40005882993887e-25,23894.791861447135,12.97119453263106,73343.38386627311,68.55619328938933,256991.31675454727,29.508950361858513,1.0,0.0,4.8906,0.006387487769068515,40450.0,0.0,5
0.75,0.9,0.1,0.15,success_rate,1,0.04045,0.0,0.9890000000000001,0.0,0.9993700000000001,0.0,0.7362,0.00027386127875263016,0.891132,0.00014024977718345128,55724.57232509743,11.400450187682129,20228.493732486117,17.15159858426971,27298.727210191504,14.934703361702107,83370.5762735111,53.36417247037309,312013.03287212615,204.9780648842631,0.5468126639828416,0.0013036328791122891,4.3172,0.008090117428072138,40450.0,0.0,5
0.75,0.9,0.1,0.15,success_rate,3,0.04045,0.0,0.994,0.0,0.99947,0.0,0.7238,0.00044721359549999476,0.890884,0.00014028542333403084,55323.4671180964,0.276506727888956,20125.123722933386,37.59104176884915,27025.359847523338,15.20472707603098,80723.05382978095,25.727457034719365,289906.5074078786,42.623568891242236,0.6428042496261794,7.42071857984379e-06,4.412100000000001,0.008677557259966684,40450.0,0.0,5
0.75,0.9,0.1,0.15,success_rate,5,0.04045,0.0,0.9949999999999999,0.0,0.9995,0.0,0.7102,0.0005700877125495604,0.8901220000000001,0.00014289856542317196,55164.95441710019,32.69842387610089,19982.627381249866,27.12747337475393,26804.57582001288,96.84691289438148,78780.52566120592,121.42550715268004,277952.2848940113,82.1623149199294,0.5777418291089731,0.0009776040598273984,4.4885,0.009006941767325579,40450.0,0.0,5
0.75,0.9,0.1,0.15,success_rate,10,0.04045,0.0,0.9955,0.0,0.99954,0.0,0.7067,0.0002738612787525495,0.888392,0.0001575436447464593,54638.0520712449,12.049828174541942,19559.014977442712,76.71990238893146,26227.92702546578,4.370162795426342,74076.58255754155,138.46674139943363,250716.4085728243,56.14539450113131,0.5356886255842493,0.0005253197418395274,4.6701,0.010761040841851668,40450.0,0.0,5
0.75,0.9,0.1,0.2,amount,1,0.04045,0.0,0.7338,0.0004472135954999658,0.9732379999999999,4.969909455917235e-05,0.6526,0.0006519202405202607,0.90113,0.0002727636339397135,50444.81954199096,19.723214259496732,2.052097177938237e-09,4.1359030627651384e-25,25037.833821515327,8.405004969202736,80309.3004469185,83.637700584435,296366.0387262426,50.376503351481595,1.0,0.0,4.8805,0.013308831654206389,40450.0,0.0,5
0.75,0.9,0.1,0.2,amount,3,0.04045,0.0,0.7371000000000001,0.00022360679774997814,0.973304,5.4129474410924387e-05,0.6545,0.0007071067811865359,0.901168,0.00027298351598585113,50523.672710846644,11.700714558334948,2.052097177938237e-09,4.1359030627651384e-25,25009.658591255873,14.324230022835334,78620.11513270896,53.873021717900116,285204.29690795636,18.140456828015687,1.0,0.0,4.8907,0.01282380598730335,40450.0,0.0,5
0.75,0.9,0.1,0.2,amount,5,0.04045,0.0,0.7543,0.0007582875444051621,0.9737539999999999,6.42650760522498e-05,0.6569,0.0013874436925511158,0.901206,0.000275826032128944,50853.60456990323,5.20921626982409,2.052097177938237e-09,4.1359030627651384e-25,24805.401747327174,26.923149172326326,76623.38930185148,135.65436335550314,274529.5722535672,5.024647347049929,1.0,0.0,4.915100000000001,0.011907980517283426,40450.0,0.0,5
0.75,0.9,0.1,0.2,amount,10,0.04045,0.0,0.8251,0.0006519202405202752,0.9765219999999999,5.674504383649482e-05,0.6873,0.0004472135954999211,0.9012460000000001,0.00024865638942123044,52715.98722563746,53.67500364468387,2.0520971779382633e-09,3.466518446016769e-24,24690.87906095848,7.8261394693174,72835.13557318077,134.46014803307838,252333.7105222904,21.598318839905946,1.0,0.0,4.9654,0.012832575735213542,40450.0,0.0,5
0.75,0.9,0.1,0.2,success_rate,1,0.04045,0.0,0.99,0.0,0.99939,0.0,0.7364,0.0002236067977500102,0.8889400000000001,0.0001002496882788643,55842.75871066579,41.87400192451852,20858.87550522905,56.81854108084046,27764.964420479817,60.64790313834254,82666.63287404113,44.911482478420595,301030.46034287027,112.92159237247147,0.5525492323113423,0.0010102367545807972,4.245900000000001,0.007074602462329577,40450.0,0.0,5
0.75,0.9,0.1,0.2,success_rate,3,0.04045,0.0,0.994,0.0,0.99947,0.0,0.721,0.0,0.888632,0.00010425929215180608,55397.27529710188,24.901715100062844,20810.0680658056,43.90063758273573,27387.05414379937,40.798313015219414,80034.70930379878,105.63852577746734,281398.7367203819,129.83028428745763,0.6471431361183985,0.0024148656758513493,4.3589,0.007257754473664935,40450.0,0.0,5
0.75,0.9,0.1,0.2,success_rate,5,0.04045,0.0,0.9949999999999999,0.0,0.9995,0.0,0.7078,0.0007582875444051621,0.887748,9.338094023937268e-05,55231.87087390809,3.4340183892255776,20531.487698861332,14.8623637725477,26979.400925943257,17.693378416233546,78132.899438185,41.031531996557995,271724.71631591785,155.41261908827394,0.5859335427298155,0.00023045925366778296,4.4323,0.006290866395020472,40450.0,0.0,5
0.75,0.9,0.1,0.2,success_rate,10,0.04045,0.0,0.9955,0.0,0.99954,0.0,0.7027,0.0002738612787525495,0.885696,0.00015469324484281604,54618.53042596784,12.007917823975426,20111.033070374153,47.04007558491236,26468.22307132942,8.312742119287691,73950.04603445316,84.04391013787222,246292.416041021,8.466551873423082,0.5548249402779752,0.0002219071908213658,4.6487,0.010034938963442142,40450.0,0.0,5
0.75,0.9,0.1,0.25,amount,1,0.04045,0.0,0.7979,0.0004183300132670387,0.984634,2.4083189157550283e-05,0.667,0.0009354143466934793,0.90116,0.0002909467305195435,51153.05831180542,75.04601522812446,4.1870990818649426e-09,1.2469593408540776e-23,25712.031071624155,10.546527545584,80069.70284997384,24.192506776116602,292584.12724077667,224.65932227287587,1.0,0.0,4.7665,0.015272524349301141,40450.0,0.0,5
0.75,0.9,0.1,0.25,amount,3,0.04045,0.0,0.8044,0.0004183300132670365,0.984764,2.4083189157627116e-05,0.6709,0.0008944271909999157,0.901238,0.00029003448070878164,51333.97650079054,36.25601954307685,4.1870990818649426e-09,1.2469593408540776e-23,25627.123322859767,23.68025356344803,78475.55692871238,56.40021840231576,283008.2275313962,4.659663542763503,1.0,0.0,4.7849,0.015465283702538593,40450.0,0.0,5
0.75,0.9,0.1,0.25,amount,5,0.04045,0.0,0.8273999999999999,0.0008215838362577305,0.9853400000000001,2.7386127875231642e-05,0.6796,0.0010246950765959557,0.901346,0.0002940748204114182,52094.787020119664,35.05229455602857,4.187099081864986e-09,9.761081722092413e-24,25519.293734996336,12.856104618276342,76694.35322723983,41.509512284540676,272519.067046029,24.609709083109326,1.0,0.0,4.819100000000001,0.015416711711646065,40450.0,0.0,5
