target,upper,lower,adj,mode,min_remain,swr,success_rate,eff_success,eff_funded,median_cew,p10_avg_wd,init_wd,alloc,years,with_cfs,floor,env
0.95,0.95,0.5,0.05,amount,3,0.030142857142857155,0.964,0.964,0.9932666666666666,41901.035849374006,32813.94246030134,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.95,0.5,0.05,amount,1,0.030142857142857155,0.964,0.964,0.9932666666666666,41982.085583704524,33253.976748699635,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.95,0.5,0.05,amount,5,0.030142857142857155,0.964,0.964,0.9932666666666666,41729.87875747902,32419.49626158289,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.99,0.7,0.1,amount,1,0.030142857142857155,0.9795,0.978,0.9957333333333334,44520.8388608816,33936.151358674455,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.99,0.7,0.1,amount,3,0.030142857142857155,0.98,0.9785,0.99575,44417.62415791043,33219.48628555849,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.99,0.7,0.1,amount,5,0.030142857142857155,0.98,0.9775,0.9957,44237.13636317242,32516.778266463527,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.99,0.7,0.1,amount,10,0.030142857142857155,0.982,0.977,0.9956,43332.615490907956,30657.0129543257,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.99,0.5,0.1,amount,5,0.030142857142857155,0.975,0.9735,0.9952333333333333,44270.79917132159,32591.66567178158,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.99,0.5,0.1,amount,1,0.030142857142857155,0.9745,0.973,0.9952333333333333,44567.39316321102,33927.54920571172,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.99,0.5,0.1,amount,3,0.030142857142857155,0.975,0.9735,0.99525,44472.05450683035,33334.68101502369,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.99,0.5,0.1,amount,10,0.030142857142857155,0.978,0.974,0.99525,43416.99864432248,30898.389459105783,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.95,0.7,0.1,amount,1,0.030142857142857155,0.976,0.9745,0.9954666666666667,46035.859033846755,34593.06980049971,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.95,0.95,0.7,0.1,amount,3,0.030142857142857155,0.9765,0.975,0.9954833333333334,45959.65568314797,34108.8508123854,30142.857142857156,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
