target,upper,lower,adj,mode,min_remain,swr_mean,swr_std,success_rate_mean,success_rate_std,funded_ratio_mean,funded_ratio_std,eff_success_mean,eff_success_std,eff_funded_mean,eff_funded_std,median_cew_mean,median_cew_std,p10_cew_mean,p10_cew_std,p10_avg_wd_mean,p10_avg_wd_std,p50_avg_wd_mean,p50_avg_wd_std,p90_avg_wd_mean,p90_avg_wd_std,p90_max_drop_mean,p90_max_drop_std,mean_years_below_floor_mean,mean_years_below_floor_std,init_wd_mean,init_wd_std,n_seeds,init_wd_floor60,passes_eff_sr,passes_p10_wd,passes_years_below,gating_pass
0.95,0.99,0.5,0.05,amount,1,0.023707692307692218,3.440104580769952e-05,0.958,0.0,0.9904040000000001,3.577708763997656e-05,0.958,0.0,0.98913,0.0,36282.43225577382,32.18837086758766,25146.66031634789,36.27340113004078,29374.570296899736,0.24820529061349006,84286.72940311153,29.212596690940615,294859.18489224283,115.32151473071745,0.03476301967135362,1.5436985026143967e-05,0.5544,0.00022360679774995434,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.99,0.5,0.05,amount,3,0.023707692307692218,3.440104580769952e-05,0.958,0.0,0.9904040000000001,3.577708763997656e-05,0.958,0.0,0.98913,0.0,36256.21407001495,29.010492304419877,25115.813927899337,29.466113905937704,28836.852979780095,19.989975252974602,80299.00749117113,35.6121308017447,276134.7888849836,69.80793885031058,0.03509107584750536,6.456240329886e-06,0.5544,0.00022360679774995434,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.9,0.5,0.05,amount,1,0.023707692307692218,3.440104580769952e-05,0.9551000000000001,0.0002236067977500102,0.990208,4.472135955016465e-06,0.9545999999999999,0.00022360679774995434,0.9887819999999999,2.6832815729968453e-05,37631.32629208611,42.443782027679006,25462.858407833985,53.48358329822174,29509.975604933203,40.429833827158824,83582.2285786784,55.14926727527459,291582.6447812839,64.46003975181317,0.03558701992004762,1.1253733087773664e-05,0.5725,0.0011180339887498834,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.9,0.5,0.05,amount,3,0.023707692307692218,3.440104580769952e-05,0.9551000000000001,0.0002236067977500102,0.990208,4.472135955016465e-06,0.9545999999999999,0.00022360679774995434,0.9887819999999999,2.6832815729968453e-05,37621.90179337103,42.59609427649691,25432.971594476905,45.11612644099161,29106.91297074443,47.74173763936952,79598.20642133152,21.720471239951664,275617.8948371811,29.48222529130791,0.03626555084592996,5.306253090846449e-07,0.5729,0.0013416407864998625,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.9,0.5,0.05,amount,5,0.023707692307692218,3.440104580769952e-05,0.9551000000000001,0.0002236067977500102,0.990208,4.472135955016465e-06,0.9545999999999999,0.00022360679774995434,0.9887819999999999,2.6832815729968453e-05,37594.60513536453,41.348485735506664,25383.67577870449,36.454954255694474,28711.47189805038,20.96993483639019,76659.75312351297,36.22231484575704,256286.82989912582,108.99648682111905,0.03657316149573096,3.61306632086954e-05,0.5729,0.0013416407864998625,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.9,0.5,0.05,amount,10,0.023707692307692218,3.440104580769952e-05,0.9574999999999999,0.0,0.990288,4.472135954991639e-06,0.9556000000000001,0.00022360679774995434,0.9887739999999999,3.130495168501595e-05,37479.961003086486,43.55911852412116,25298.81892765825,24.801953800919968,27557.753240368118,29.815911693668394,69579.94693271878,65.00535983892327,220671.9619977909,98.65454412728201,0.0373203787859752,9.283580611986333e-06,0.5747,0.001788854381999827,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.95,0.5,0.05,amount,10,0.023707692307692218,3.440104580769952e-05,0.9556000000000001,0.00022360679774995434,0.98986,2.2360679775007845e-05,0.9545999999999999,0.00022360679774995434,0.988532,4.472135954991639e-06,37560.2289742484,40.76125832166003,25458.864259645554,31.53720899474314,27525.53281868715,20.311519860110963,69443.11323640482,22.105313328438115,220395.39285773752,100.19762213355581,0.03749190646760536,1.869871949266427e-05,0.5859,0.00022360679774995434,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.95,0.5,0.05,amount,3,0.023707692307692218,3.440104580769952e-05,0.9541000000000001,0.0002236067977500102,0.989762,1.788854382001621e-05,0.9541000000000001,0.0002236067977500102,0.988516,1.3416407864999743e-05,37741.46765018134,43.86772400236811,25657.705594349267,46.21303432147685,29130.717048585182,17.71125893059747,79516.43778710133,17.3536164006738,275617.8948371811,29.48222529130791,0.03633502086077822,9.108763146313375e-06,0.5852,0.0006708203932499747,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.95,0.5,0.05,amount,1,0.023707692307692218,3.440104580769952e-05,0.954,0.0,0.9897600000000001,2.2360679775007845e-05,0.954,0.0,0.988514,8.944271910008104e-06,37754.449312901255,44.526255289276875,25685.91404266761,22.74004119626467,29526.806459489708,35.88395051536689,83350.49769067198,33.2049810251354,290827.3721449023,66.3644488167214,0.035974583285147924,1.3274937987030624e-05,0.5852999999999999,0.0004472135954999645,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.95,0.5,0.05,amount,5,0.023707692307692218,3.440104580769952e-05,0.9541000000000001,0.0002236067977500102,0.989762,1.788854382001621e-05,0.954,0.0,0.988514,8.944271910008104e-06,37714.343956831624,42.78818512563931,25601.226942997237,41.260141043966115,28660.2175803977,5.511810214570216,76641.47935459919,45.55139577239932,255989.6887977894,109.71438721891387,0.036805309081970876,2.822770327759757e-05,0.5854,0.0002236067977500102,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.99,0.7,0.1,amount,1,0.023707692307692218,3.440104580769952e-05,0.976,0.0,0.9967499999999999,2.2360679775007845e-05,0.9599,0.00022360679774995434,0.987884,1.3416407865024569e-05,38827.81398573431,43.743576839195356,24978.657178727044,34.3429534703868,32779.011475030304,30.357464093604154,102507.06927522676,85.57608871036813,375768.4618005542,201.54493220016616,0.06785973493805583,4.785644858473819e-05,0.5635,0.0022360679774997916,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.99,0.7,0.1,amount,3,0.023707692307692218,3.440104580769952e-05,0.976,0.0,0.9967499999999999,2.2360679775007845e-05,0.9599,0.00022360679774995434,0.987884,1.3416407865024569e-05,38810.561538064074,45.40595805638326,24957.898807190213,27.26895500145515,31877.471413792628,67.50854608196964,98028.72540579416,158.18608381922914,353746.94944346143,95.80323968127513,0.06929012180190826,2.6163834248955585e-05,0.5655,0.0022360679774997916,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.99,0.7,0.1,amount,5,0.023707692307692218,3.440104580769952e-05,0.976,0.0,0.9967499999999999,2.2360679775007845e-05,0.9595,0.0,0.987874,1.3416407864999743e-05,38752.32533385314,38.373225665090814,24906.06022474367,13.901812192941705,30928.89606718031,29.121754790719798,93376.1437176173,71.51754564163004,331804.232160968,125.40300225758054,0.07127387820600224,8.198597428511764e-06,0.5689,0.002012461179749837,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.99,0.7,0.1,amount,10,0.023707692307692218,3.440104580769952e-05,0.9795,0.0,0.996888,2.683281573002431e-05,0.9601,0.0002236067977500102,0.987802,4.472135954991639e-06,38629.58012518866,28.499493255531107,24737.454514789726,27.519531536646454,29004.122707315175,9.44747328178056,82881.44222856572,79.56859443633493,279524.60583794455,63.89780865082233,0.07328972565147973,1.7418937331577144e-05,0.5935,0.0022360679774997916,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
0.95,0.99,0.5,0.1,amount,5,0.023707692307692218,3.440104580769952e-05,0.9669000000000001,0.00022360679774995434,0.995344,3.577708763997656e-05,0.9551000000000001,0.0002236067977500102,0.9877939999999998,8.944271910008104e-06,38807.86544125285,42.9249527783174,25298.48562985997,5.7748510302140375,30655.517050337796,47.20086961236147,93274.39703941596,71.08986061877035,331804.232160968,125.40300225758054,0.07519706609676571,7.037764064396631e-05,0.6092,0.0004472135954999645,23707.692307692312,34.401045807691,5,14224.615384615387,True,True,True,True
