Year,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
1955,0.1303422980789981,0.2650963524251413,0.15157138497533396,0.2609165047248099,0.26213888601789037,-0.004225587683200249,0.18703810911318164,0.1714219366689158,0.1434206988738964,0.2649736326603722,0.29499277362551846,0.15689185951383378,0.24576727317272007,0.2675154593514566,0.23763050722328138,0.19444004271090432,0.20497616104770278,0.19134394899923945,0.16104982737935436,0.09422510599871314,0.29687252514129536,0.2608953231902187,0.22924869914601032,0.32485847197088535,0.2448983381290062
1956,-0.06568772385229948,-0.08689377443968593,0.015345469476772955,0.0871425271458417,0.07815278402080028,-0.04216875381619367,0.11481145756689459,0.06107821438982741,0.0731798655693019,0.1026681870312478,0.09997340343651584,0.07239094107931754,0.13173832849561418,0.1275766948380428,-0.00028787360364679326,0.09270636071932059,0.093111039664868,0.05565899606814417,0.09699405997273547,-0.01585090704052916,0.055017171182725644,0.12238674733020827,0.15855716781297646,0.10221558133552211,-0.014129494765273476
1957,-0.13367370197417594,-0.22025610324524825,-0.13354144873799334,-0.1284280230767354,-0.14750858665836442,-0.1761337785301017,-0.11801662966212167,-0.07774459928978905,-0.22022287444862754,-0.13303605425740417,-0.11595096969884966,-0.14945203651951888,-0.12399670991128708,-0.16280505274903445,-0.15245559305683654,-0.11481377744804844,-0.09964909323402638,-0.07884054515435701,-0.22206291435486736,-0.24968087070139378,-0.08682756723852136,-0.09566585701876029,-0.05356921144141091,-0.2101981805615757,-0.2548664615163493
1958,0.7697892824652164,0.8286049550938548,0.6162744134672662,0.6089776943232468,0.6998623340321932,0.810390830085099,0.7122490629133535,0.4935189595351248,0.6551828838526979,0.864733136366012,0.5040170871656804,0.5146320989977051,0.5292761692592656,0.6486235172741079,0.829056055186945,0.5328755893765051,0.4797799514390677,0.5899772431363426,0.5882252979201297,0.8533963412064427,0.40389372224120224,0.3871445568059946,0.49213066929247895,0.40498925322238155,0.6773566622255782
1959,0.07896637391775307,0.3141698899577572,0.18227370536449272,0.2473572639823236,0.21360775562841328,0.24948032630948158,0.1536478158041048,0.20733221138363,0.1849670959416101,0.19937456510495766,0.1981647218677749,0.23109084590854256,0.18977988243759425,0.24042839706020813,0.14562560160277327,0.12138272808129247,0.1494076079783988,0.17781034533866102,0.197692283882013,0.10169379557625358,0.16426736690623422,0.0442456521660719,0.09671799621566857,0.04043045918345389,0.2260177827748513
1960,-0.21032686063137263,-0.13451897330086193,-0.048608703332115866,0.006583382535999105,-0.06281241474797161,-0.06522773681210525,-0.012548238139928336,-0.036859792935692304,0.008232806619175248,-0.06930211313816792,0.07624455654163254,0.015579553888469322,-0.009684171725307111,-0.005139804459777797,-0.19247849767297776,0.0657970690176235,0.05522483589888072,-0.012676088129337293,-0.0035575609824317622,-0.17655349233643503,-0.025811599354812587,-0.02673957327060672,0.1792984227990131,-0.07218068862157456,-0.12082215787516415
1961,0.31991266556487474,0.3899982009709744,0.25140329487852076,0.3138355521595142,0.26770474796694876,0.2116999651905076,0.291197634514875,0.3157884781275724,0.3535190106346384,0.4235059557185148,0.2121526430998144,0.31830542155270725,0.23004124026424755,0.34513158660557974,0.2569057865094877,0.2591824708485557,0.2877110168268342,0.3798184438985104,0.2715157789665792,0.2369181582320763,0.23605094683888583,0.30336420853253365,0.2571930056583642,0.20960138647068471,0.3171219044589477
1962,-0.05947831028823025,-0.21743082349781795,-0.11299627603578699,-0.11272521392812196,-0.09353940385385828,-0.2284259431181559,-0.14247434987815544,-0.17225513461231423,-0.08853081974985433,-0.09553593126840065,-0.17480295979948957,-0.10427428706235731,-0.15930907672512917,-0.1551013904827746,-0.10247898810849887,-0.20587402002560018,-0.10292786719955127,-0.09192254769783237,-0.09826370470810186,-0.008501087196597812,-0.14291243647524898,-0.06915980841662439,-0.007684984813672857,-0.06087407121977406,-0.03949536013817756
1963,0.26707026726657745,0.03838688880385832,0.12490055814607004,0.14445832107967171,0.32032484643093895,0.029122347562299478,0.17061276144110993,0.11572935161149589,0.22601041659399135,0.32660864082974106,0.04828183224187299,0.14471394518576242,0.16457506180498593,0.21680047336305885,0.25637171093169475,0.08890608923488719,0.11721577729819055,0.1894069295136651,0.3689244276108936,0.34738139803533485,0.2331089217352218,0.18405336563714703,0.19189342813122146,0.2681461523091446,0.3293464176151577
1964,0.15520654671240308,0.12123512520898183,0.22969761169559022,0.13497133286419194,0.2636871922399988,0.06594999671788937,0.06401001309496879,0.2638497529346242,0.1484486172727224,0.28352955951422376,0.043845197419424276,0.19545139288837254,0.21145527663252994,0.2527188728890357,0.23233456902494676,0.10449796884712748,0.2209430542637023,0.20835339003914677,0.29965169199046904,0.18909511514562083,0.16921703403491284,0.12333050839750737,0.19516719800279025,0.1955411940384124,0.16570231161110516
