Year,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
1938,,0.29250184221255204,0.3827474098793697,0.27346900668092466,0.16762719478479804,0.3781013070366861,0.41914579829303444,0.37572952017351735,0.2652910439539322,0.051805494549398645,0.20903074842188873,0.3895777968415748,0.37111770173034575,0.40859083467430524,0.42738546639777275,0.34593273473128017,0.3922283621861844,0.33340922545699136,0.2519587476696665
1939,,-0.06270373984098288,-0.002357957008542799,0.029124965202477204,-0.047710558228290734,-0.024069301880840444,0.03701737483994494,-0.042388816579934874,0.03406377710227715,-0.04861077598727437,-0.04902788448283002,-0.07383968824897547,0.007663696133948239,0.05443758628256523,0.02470848677152837,-0.04896324347192671,-0.0391286452903854,-0.06083996230246291,0.053461478187236455
1940,,-0.07639454784156052,-0.03762935058325989,-0.0746763253698145,-0.14772920509433818,-0.05058246461950888,-0.002307898287436716,-0.0753438078741836,-0.07465326193932831,-0.32877933732106024,-0.07783992537698448,-0.02619144054904954,-0.06510810055288851,-0.027440244161372696,0.016014064135084993,-0.06965609831076414,-0.07851581991862355,-0.09217850642066105,-0.07160195957018489
1941,,-0.08289076270743867,-0.09652949559359625,-0.10635089872245351,-0.12115681364699515,-0.10288069763862229,-0.10093904922312669,-0.071163228520288,-0.10909823254967466,-0.06735644100174043,-0.13629964307079867,-0.056600446232648594,-0.13173833130034818,-0.1292578453816613,-0.08067472645812834,-0.0804398415994867,-0.06565389369450514,-0.08812268508960852,-0.11294442370006208
1942,,0.33493561173947994,0.22982759566833066,0.15648278029736495,0.3852676612552197,0.2999842436643092,0.22565934188389525,0.20487046156335453,0.15337812224240888,0.6303126751236707,0.3094108339767525,0.30336606288334056,0.29784355482189584,0.23631193041560117,0.21770273043757382,0.2130691914749645,0.20039620840520733,0.23542571902773224,0.13908868996515267
1943,,0.8914668025804222,0.4870343426899264,0.25430037757951074,1.1095079678368962,0.7701197170115366,0.4844676816174951,0.34083138304837357,0.2501707336077237,1.4303971630709649,0.9917514766667896,0.7357485014351899,0.7922092907752984,0.4638355035330397,0.5001021515764414,0.3913950811867357,0.31137335276906186,0.35680233191664734,0.23032751672658303
1944,,0.5195458862086935,0.3676472921936267,0.19035281516934166,0.6195003879665075,0.38908716851459135,0.38075079206004836,0.3047588962703671,0.18337268240299953,0.7114766335102622,0.5827141310202071,0.4300288887969024,0.3641293474209282,0.41292474263987367,0.35788565474017386,0.3532902641023288,0.27569586880687247,0.2591061690622871,0.16822303790494653
1945,,0.7505783099351409,0.6210853300301309,0.3469160385712935,0.8018611624784107,0.6957533556326096,0.5526242292381698,0.5896226801598965,0.330030160927131,0.9438993980462917,0.7364531732294317,0.699485652575836,0.6940182938537081,0.5545725243247626,0.5516516363067374,0.6796920488281804,0.5328523010456412,0.4595317807507211,0.3024199027340777
1946,,-0.13959830805461781,-0.07589885772945704,-0.057957467928828166,-0.12846585838175406,-0.10480342454172864,-0.08060841809597474,-0.06452064702973537,-0.05777227963688503,-0.13738917915427684,-0.12399610921219628,-0.1518716694527128,-0.06905707926751281,-0.07341697471232445,-0.08632653034544135,-0.07263322368683778,-0.0594053864816938,-0.08266099827355244,-0.051775502721470135
1947,,-0.004946743572927237,0.006668770592868967,0.04060850764382962,-0.013045564490642758,-0.0034738980577853074,0.004677529463452457,-0.006869794940070673,0.046593947376954326,-0.01727803586171983,-0.010882422647311873,0.0037164762410275554,-0.00851651193504166,-0.029555171885476406,0.030570476351477804,0.015057171302409467,-0.021157808774142417,0.007613432968368583,0.05593513996563226
