Year,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
2003,0.7048164120605032,0.4944925769128006,0.506774392448837,0.3911245852105234,0.26745467424453473,0.277304359912129
2004,0.12562843675800361,0.20797018087286245,0.21583717783699274,0.07625225236899258,0.10591180076250106,0.13377256983951358
2005,0.037670135225473356,0.06888038059230195,0.06059174346384455,0.02341041740181593,0.04967275713788988,0.09663393522520192
2006,0.20122030716506045,0.18818869394554083,0.14153120716311518,0.20321688174127206,0.17173999600703205,0.0924479575450674
2007,-0.05705028313391758,-0.04330119219373163,0.015163474555061729,0.028357914847152665,0.06613291677616218,0.1032811120832533
2008,-0.3672098224869269,-0.30103048025145984,-0.38908191085836374,-0.3537538245607943,-0.3444730173269962,-0.3940479733080352
2009,0.46299515241406297,0.28161178448238533,0.3421517156437346,0.2572802050667964,0.1910316372896501,0.4035290427021869
2010,0.3626360662235977,0.3017282147889129,0.21577419929912955,0.1603927917840986,0.2079679618463619,0.10891929579156412
2011,-0.07623420918620227,-0.023720574140121298,-0.07137617529468832,0.0017059621093120647,0.02181685848233017,0.015215715967065613
2012,0.22540374144996145,0.18066958039843195,0.13633045923965414,0.23428919067942156,0.14610457001139898,0.14230124056118432
2013,0.4632178915520746,0.41796453624606444,0.4358187892645864,0.35063922630380095,0.32810857517978387,0.3520237077812458
2014,0.03234389913287927,0.06341451421572919,0.03768784652331725,0.11362164085958382,0.12351238531016917,0.14071986346611975
2015,-0.1332625480738926,-0.0338155780420617,-0.0290129877817058,-0.003061940989459777,-0.019790938224997667,0.06540128467389184
2016,0.23105927232221313,0.2749558320104126,0.17012326547033063,0.16759632196381835,0.15255632862861424,0.03831888077752321
2017,0.11176590437049061,0.12552486642202032,0.20872736236001277,0.17566910359570675,0.19636343561087966,0.30252397194066827
2018,-0.08825085621464046,-0.09139745920110831,-0.1322406725906673,-0.04768204478330218,-0.08345966720664788,-0.007719978711817288
2019,0.2047918974868168,0.24432770720364427,0.2580194090103478,0.3052453164616542,0.2976162528216466,0.3138799604251181
2020,0.2701270182850479,0.08418709715520634,0.35710827618757923,0.23468971929573645,0.12227050594819722,0.38173728868235823
2021,0.26186798419595747,0.31121686108837476,0.08577325330525243,0.27957120956900994,0.26971511401860204,0.2222536083048534
2022,-0.09291238832880966,-0.1279914525870004,-0.27231639571363353,-0.05187339881202424,-0.12246717070174884,-0.3224971468900676
2023,0.1293365690023558,0.1599403261874055,0.24728857894792666,0.11091357410659763,0.26725666334661224,0.4050337555673713
2024,0.07873751195005285,0.09726260864222103,0.12730870262064453,0.19573157473619607,0.21848993516500204,0.343616357844132
2025,0.05218762224816631,0.1082913356011328,0.15331092260092571,0.18212606707975154,0.15352233469323773,0.18869789485183674
