Year,Mkt-RF,SMB,HML,RF
1985,0.23277168206356968,0.000954182953754934,-0.005011864419908085,0.07720290931256968
1986,0.09713466160014916,-0.08770091728186702,0.08069334575674336,0.061570406431426195
1987,-0.03708658836503431,-0.08733894693909394,-0.03694757050264097,0.0547242533511505
1988,0.10986343056307812,0.04538086134463337,0.1254719279318317,0.06357536181976098
1989,0.19032104696694874,-0.10174920503822771,-0.03729038606278201,0.08375046134037034
1990,-0.12940930746697243,-0.14201299101429654,-0.11751406889296812,0.0783811806196344
1991,0.2780679922943874,0.12710475534069365,-0.10656161904172279,0.05598602000744579
1992,0.060744941747357784,0.0647300785564624,0.22309514500275474,0.03504994804571737
1993,0.08048383033284368,0.059860381090667936,0.1535248546473844,0.02897778178063759
1994,-0.039147526758731566,-0.005867363358068034,-0.010747134428929717,0.03908056138318683
1995,0.29744002862969166,-0.07220551895143512,0.04014632328114187,0.05598649105330922
1996,0.15279017329445033,-0.03998454526481221,0.06242895319617481,0.051999285783835614
1997,0.24814265677899994,-0.06787172682994846,0.14174117667478492,0.05252282460020363
1998,0.1855777398306171,-0.19372408665089536,-0.10270918408723761,0.04854677372756999
1999,0.19719676666625863,0.1182620983136975,-0.22506135394254878,0.04687748765610511
2000,-0.16589704651753945,-0.06479910898826424,0.44375824268807884,0.058827813659585004
2001,-0.14531888066158516,0.19468419351928934,0.15572283407003695,0.0382480086493604
2002,-0.224351968516045,0.04377488886318237,0.10841412822424412,0.016320751907483055
2003,0.3038470714090684,0.20866985596756304,0.03427250892939693,0.010247724555651816
2004,0.10633174018201363,0.043559656192892815,0.06786716161289896,0.01186345410952283
2005,0.03040590396370879,-0.018823963864125992,0.08789810486629479,0.029797742632779123
2006,0.10138672102519308,0.003053674603783474,0.10302598320740608,0.04812968129714923
2007,0.010290357466961053,-0.07297434650053414,-0.157130488850028,0.04666772011205489
2008,-0.37684450138516956,0.04568757958946423,0.023319218668032216,0.015912653124452003
2009,0.2851628167491811,0.0768874200630063,-0.03622421019406763,0.0009003500770103923
2010,0.1729618337692882,0.13213017621110645,-0.039432716355617514,0.0010004501200207017
2011,0.004607822485587665,-0.047636149682202755,-0.08114598745919277,0.0004000600039999469
2012,0.16277653860767072,-0.008884077338803253,0.08626776633228661,0.0006001500200012444
2013,0.3515298465112644,0.058178786440187036,0.02065296997773447,0.0
2014,0.11742048220313439,-0.06615640411132828,-0.020145396940010052,0.0
2015,0.0020215925059750006,-0.0389013394625779,-0.09829451870666406,9.999999999998899e-05
2016,0.13348446448962914,0.06122388855072902,0.20651114318602604,0.0021020011424353058
2017,0.21371520823446044,-0.04491456656943582,-0.10744042036059176,0.007928391042689276
2018,-0.06733509776488178,-0.02953553764726624,-0.10463670748923837,0.018047146131043634
2019,0.2787888309117321,-0.047508454279023504,-0.08076218091266218,0.021406739609562075
2020,0.23476971449813533,0.13727726301180843,-0.306581478130201,0.004507806614990173
2021,0.23850928789934422,-0.04053140435496849,0.22212545742477396,9.999999999998899e-05
2022,-0.2104341347466533,-0.07370470362409964,0.317125470516437,0.014081806491235804
2023,0.20812323147941592,-0.015096821322440057,-0.11104701274342876,0.049382415103136124
2024,0.18861990691363162,-0.08785202925348723,-0.07138242250561755,0.05252283500850252
2025,0.12796513233480056,-0.08595438867984673,0.06505703512561278,0.042505973403236696
