Year,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
1986,-0.03524845383396524,0.10504286980878619,0.13987015419426907,0.16926871342588412,0.18411771885517036,0.20329354578863623
1987,-0.11520931357354325,-0.05184633928133697,-0.054672744771863124,0.18076558865134373,-0.02757000576595703,0.0424604340339334
1988,0.19368803425569459,0.23475538093051718,0.24704661160641184,0.3009711984433041,0.1663304509275514,0.13524007355453382
1989,0.017060772941619895,0.185649249361024,0.2687786792292739,0.12330455877690971,0.28585222754237827,0.41493793961890035
1990,-0.34706534197176175,-0.18048774447422988,-0.11607542598569676,-0.16615190998980411,-0.04085703691050446,-0.02349753562937562
1991,0.33825043135232513,0.41764569575505206,0.6410512997087394,0.4541975140079624,0.29098854873565694,0.43639335708772875
1992,0.14190820535457527,0.20105581992832766,0.22055534537349675,0.08526964791737268,0.09149295786579459,0.06767050098714367
1993,0.06861102070858793,0.18159488129488177,0.29094210637675033,0.001537760470609939,0.05759998056339355,0.25160148080710476
1994,-0.0880269271523425,-0.011812690687316163,0.009766694174671464,0.022353727230136844,0.0005659738350913823,-0.014249488286737777
1995,0.13588068918342722,0.30115759315051194,0.42135469625584343,0.32741393256401863,0.36231592714615535,0.39425635757689403
1996,0.13654586626329057,0.21145584155016395,0.2072556176417022,0.1772614461431692,0.21765281422920868,0.23185807047850715
1997,0.14439919869159823,0.33715991480055196,0.31505882958966325,0.2711681889622004,0.29801331988432445,0.32219621284077804
1998,-0.16334920986031387,-0.004023186567674197,0.060056684355001,0.1427318099833017,0.18065927437374452,0.3846690119531011
1999,0.1688604192294174,0.044536047569792014,0.5287081825337869,0.0508312756019742,0.012373078152124739,0.3689805318607824
2000,-0.22920913429896617,0.08833765640948354,0.08426486185994286,-0.1322662527933567,-0.012730020634581396,-0.151748824184878
2001,0.19734422891734482,0.24854038209278584,0.20214358355236528,-0.1795972294839846,-0.06495813605658796,-0.09299234165142312
2002,-0.3972025028827938,-0.09691809495855797,-0.07059242189316062,-0.31876381602924353,-0.17884379024552644,-0.13283942537887994
2003,0.7813460563402037,0.4625524647586874,0.5456343357572795,0.5351362120645049,0.23294170693107064,0.27858916373929277
2004,0.17917119935595305,0.21403831003501606,0.1802303984684097,0.10806250320464184,0.10952054800668098,0.09901164147606734
2005,-0.03463842518023397,0.061449447220300435,0.12199988859508926,0.016630742028284295,0.055481782445475414,0.15832096801223972
2006,0.17603627042171466,0.17446168678650764,0.13693945607368097,0.21441359215428668,0.14302755483890817,0.0993917151174808
2007,-0.11916962232450912,-0.021958034520114245,0.04777227897955716,-0.08430941262233571,0.04333071562894508,0.1846977049081826
2008,-0.44911729396929045,-0.35344740380157436,-0.36507184903104384,-0.5550985607453508,-0.3077692572178816,-0.3629997546514786
2009,1.2176672193130362,0.43621992388490516,0.10898183565324282,0.7223354358373484,0.38843268714086254,0.15454938170522237
2010,0.29804128044910705,0.26371475613756057,0.3347275706660997,0.16249013694259395,0.12879788211479948,0.2624429003761959
2011,-0.15238826436398356,0.0037207563766670226,-0.024334915036040794,-0.05372099674651509,0.06020858160951281,-0.03570997864166592
2012,0.16593033735696405,0.1606688669884384,0.2192339564423087,0.1873481357370126,0.15852940062938514,0.15394133492302675
2013,0.43366946474670254,0.4253202006472474,0.507289455673327,0.29167262602301336,0.3649379546005229,0.3587609611714624
2014,0.016824005144337795,0.08698155345051384,0.02159084581464854,0.11260699071865754,0.13628681268067977,0.12557033016498842
2015,-0.18313141116045684,-0.02873657527734841,0.005428012932134463,-0.15719532838931904,0.008298587715117822,0.05320973345850977
2016,0.2813302985938728,0.2809042233798662,0.11753729799083179,0.30192022895312864,0.15006678892387804,0.047389935596076294
2017,0.14455282449767282,0.15820076312948306,0.1844964946525698,0.19797580255903435,0.21255478351930157,0.25061051589150996
2018,-0.15332068634277607,-0.12170667430256399,-0.0689269844663013,-0.11841072090839244,-0.05452519443815318,-0.011124101129031616
2019,0.21557989168404634,0.25106460765328675,0.2471154123557211,0.35477307053642226,0.33297521584213774,0.27619008616200036
2020,0.35707935795046786,0.09986084239957482,0.32863305462182213,0.10637136364540378,0.16874655684187534,0.28373476846230217
2021,0.16488492453926762,0.25961292762941124,0.29577827486480857,0.2982644968032333,0.38314250031183805,0.11864462743054793
2022,-0.3338506594139359,-0.09936798038428107,-0.13898239353474096,-0.26694688275903233,-0.20295695306327988,-0.14013548621916494
2023,0.21652619453224342,0.16549953826004415,0.13809913478947222,0.6006044766492538,0.2315899427792789,0.1874308584436204
2024,0.008465130763646744,0.09745547732377657,0.18182575862840045,0.14097265067756193,0.22076345660024166,0.3203602410622872
2025,0.057439640571214534,0.08081308037683566,0.14106489005655765,0.22448550753885987,0.2809238644265015,0.09509183560879686
